name,z,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,peakmag_ztfg,peakmag_ztfi,peakmag_ztfr,mag_err
ZTF17aadlxmv,0.06196029,58878.26734732891,0.0009998772837668,0.4162656973447143,0.109711537334705,0.0670636227514478,7.425448514126389e-06,0.0662450984765637,0.0069940974866235,18.038547336714498,18.505412869157983,18.087172692826744,0.0080630677576576
ZTF18aabssme,0.04168029,58185.84489717573,0.0025421423330323,-2.395639657333358,0.0366475843388857,0.8059847260265087,0.0002644077789955,0.6185739346494659,0.0825350653636579,17.08106313816466,17.62206388153632,17.18084802137084,0.1129272325726597
ZTF18aagrcir,0.07805389,58204.60016880684,0.0009153599192649,-0.9040884446286128,-0.0789632765482243,0.0674169744052051,3.214737433879104e-06,0.0530616268246317,0.0046523148490345,18.23413913319979,19.00377645321876,18.461862919309034,0.0038130977195903
ZTF18aagrebu,0.05492675,58181.59033029754,0.0012675854442381,-1.5261160284232964,0.0722285997385057,6.471782398875803e-07,3.3235112764334555e-05,0.0477676558492793,0.0207690440676574,17.813684528312315,18.30946894981753,17.88404377327526,0.0284671659504147
ZTF18aagrgao,0.1139726,58179.744610386646,0.0005373784379056,0.3430316436960435,-0.1775619092547361,1.165099092759192e-07,4.105947489882e-05,0.405660922941633,0.0495230009040012,18.848591500966727,19.81322992065372,19.184969597594367,0.0829578473966124
ZTF18aagstdc,0.03983161,58213.62352051505,0.0027593517806112,2.413336183101447,0.2246158225146314,0.0124748095004179,1.0090261627792828e-05,0.0278477593564126,0.0029128450304866,16.854160604718256,17.164191593865862,16.816168928525016,0.0039702666552901
ZTF18aaguhgb,0.1242879,58215.23762909878,0.0003831576711378,0.7079299638957702,-0.0054157731861141,0.0519801045411441,3.0132535144893857e-06,0.0606390873576523,0.006485424314517,19.13295694689945,19.80414371485812,19.29886224267105,0.0085385173813185
ZTF18aahatvc,0.07784651,58986.47225488834,0.0009045966519791,0.8526114083335293,0.0525934896312318,0.0497846709477016,5.366460298388694e-06,0.0662370299674487,0.0059704615601928,18.17117183477884,18.74462939654375,18.280573193961278,0.0064410588129081
ZTF18aahoymn,0.10304039,58216.61844722389,0.0005016359963913,0.699556382649498,-0.0257845626217641,0.3356725667435967,3.326259321173406e-05,0.3568380377184839,0.0576062175973354,18.85015789736925,19.556529103281925,19.03636321862645,0.0719932420598184
ZTF18aakdyym,0.1174163,58235.19648868401,0.0004265254229746,1.2192695293896114,-0.015074424628195,0.0682168527200701,3.0428961905423536e-06,0.1225833367065088,0.0058757613971098,19.016372668485417,19.71376440539197,19.19666692884173,0.007745804548651
ZTF18aakiwbs,0.06584399,58948.009865301225,0.0007983204912256,-1.48991628198161,0.1168090623176991,0.0400013621510879,6.323311910325934e-06,0.0440632253413465,0.0061224432923912,18.29388497081628,18.713421968077,18.31971481999017,0.0085998652802694
