0.02312
time        band    flux               fluxerr   zp     zpsys
58468.551	ztfg	962.0552191862129	7.114864761076353	25.0	ab
58471.514	ztfg	793.5969681957687	8.819808112815231	25.0	ab
58480.539	ztfg	446.683592150963	18.473878151203223	25.0	ab
58482.537	ztfg	396.6431879468578	11.112473803354048	25.0	ab
58486.554	ztfg	347.05635400798724	10.381052256493277	25.0	ab
58491.506	ztfg	286.8137712668462	8.035460122590155	25.0	ab
58494.510	ztfg	289.46762641760284	5.381604971833784	25.0	ab
58502.491	ztfg	267.42376570889945	22.043860708703807	25.0	ab
58505.473	ztfg	195.52396696208905	30.83619708288628	25.0	ab
58511.449	ztfg	233.13098574180304	9.418299969139342	25.0	ab
58522.501	ztfg	215.57579680386272	11.61984696966384	25.0	ab
58526.470	ztfg	168.57765178289762	12.723264918804416	25.0	ab
58448.557	ztfr	3499.4516702835695	22.634685901103786	25.0	ab
58465.515	ztfr	1635.3096517445822	9.062071470347936	25.0	ab
58474.488	ztfr	1592.2087270511684	17.69534916453576	25.0	ab
58476.479	ztfr	1438.798578255845	14.651099662469395	25.0	ab
58480.546	ztfr	1140.7750129221215	14.80494248000817	25.0	ab
58481.498	ztfr	1088.428737943593	11.083328935755835	25.0	ab
58486.508	ztfr	840.2335139076915	10.904524294684693	25.0	ab
58494.554	ztfr	630.3764788294866	5.832801744030763	25.0	ab
58508.493	ztfr	379.14034418330624	14.953816548979217	25.0	ab
58511.535	ztfr	374.6277983440602	11.91714825422398	25.0	ab
58522.532	ztfr	268.4108083545228	7.774135853006361	25.0	ab
