0.05
time        band    flux               fluxerr   zp     zpsys
58730.302	ztfg	133.41356829031042	6.416316556273191	25.0	ab
58733.317	ztfg	177.174003994312	7.157683956263174	25.0	ab
58736.307	ztfg	271.39384876415863	16.478532319366252	25.0	ab
58741.208	ztfg	329.30627017520874	27.802075633137207	25.0	ab
58747.296	ztfg	334.8112173860542	9.697328900525145	25.0	ab
58754.273	ztfg	271.64392688390836	6.071496704558233	25.0	ab
58761.253	ztfg	210.47474886559755	8.503006644260145	25.0	ab
58764.273	ztfg	229.08676527677702	13.239227132477716	25.0	ab
58777.185	ztfg	77.48185327756191	9.534323937637781	25.0	ab
58781.183	ztfg	96.8277856261249	11.116585372320417	25.0	ab
58785.220	ztfg	57.01642722807478	7.966609120349014	25.0	ab
58788.181	ztfg	51.3806980232345	8.93078393854729	25.0	ab
58741.337	ztfr	330.5217168699794	27.574720232655977	25.0	ab
58744.361	ztfr	386.544946598284	12.296240310768917	25.0	ab
58747.270	ztfr	393.36888067320143	8.421930175737863	25.0	ab
58750.276	ztfr	375.3185242379138	9.450409655874447	25.0	ab
58757.297	ztfr	344.1913882684287	8.341792927457059	25.0	ab
58768.191	ztfr	281.06062003343976	29.109529914329126	25.0	ab
58771.266	ztfr	212.61798598625197	20.29837703514436	25.0	ab
58774.194	ztfr	217.37019751571174	10.874133701638673	25.0	ab
58777.191	ztfr	182.30559606810715	11.247445329867478	25.0	ab
58781.243	ztfr	181.46797793969264	21.393693756936457	25.0	ab
58785.244	ztfr	133.29074642313395	9.928043504220557	25.0	ab
58788.229	ztfr	143.08694127493388	13.083918051603431	25.0	ab
58798.209	ztfr	99.5405417351528	18.81810746103338	25.0	ab
58730.373	ztfi	121.0040760856955	12.286670337438366	25.0	ab
58734.302	ztfi	225.94357702209805	18.399478247299452	25.0	ab
58744.349	ztfi	300.6076302628232	16.495113631966223	25.0	ab
58757.261	ztfi	271.64392688390836	11.495272696029676	25.0	ab
58761.301	ztfi	263.2691674218488	13.67995925911903	25.0	ab
58765.300	ztfi	245.6970827636836	25.197300222294256	25.0	ab
58769.300	ztfi	287.3425886674871	34.46775564185708	25.0	ab
