0.019544
time        band    flux               fluxerr   zp     zpsys
59118.469	ztfg	19002.030025772303	4810.196206996064	25.0	ab
59119.345	ztfg	18467.155239867057	5083.33759909304	25.0	ab
59134.284	ztfg	32210.687912834346	5773.251102616363	25.0	ab
59177.385	ztfg	15617.085932653737	4706.484176708476	25.0	ab
59183.216	ztfg	63796.962266257935	14257.906880365877	25.0	ab
59185.194	ztfg	46730.453963151	8173.042139369357	25.0	ab
59189.160	ztfg	18949.597947435508	6146.141689592898	25.0	ab
59198.197	ztfg	38018.93963205613	6814.287411217197	25.0	ab
59114.412	ztfr	47.599237966724935	7.456171881754451	25.0	ab
59115.333	ztfr	102.51797048255587	9.787264271552619	25.0	ab
59116.349	ztfr	221.8196419800215	8.324539760828952	25.0	ab
59116.401	ztfr	231.63276959874466	7.148358692572987	25.0	ab
59117.362	ztfr	328.0952931131187	7.6423211298356275	25.0	ab
59118.284	ztfr	426.57951880159254	10.33854458369539	25.0	ab
59122.391	ztfr	891.2509381337459	14.064653514739113	25.0	ab
59123.340	ztfr	963.8290236239715	17.015112406935565	25.0	ab
59124.289	ztfr	1014.8456628180936	18.867389532488616	25.0	ab
59125.321	ztfr	1037.5284158180116	14.433458005210356	25.0	ab
59129.477	ztfr	1058.766033113698	11.766820719665121	25.0	ab
59134.427	ztfr	664.9668571246749	12.362656883931317	25.0	ab
59136.325	ztfr	592.1067335646615	8.790216918824752	25.0	ab
59138.341	ztfr	481.72590355916344	10.313632122287746	25.0	ab
59140.259	ztfr	392.28346253952134	8.398691642690487	25.0	ab
59142.291	ztfr	335.7376142429552	8.770932043624358	25.0	ab
59144.415	ztfr	271.39384876415863	6.833617003353457	25.0	ab
59150.279	ztfr	181.46797793969264	14.236156208374767	25.0	ab
59152.400	ztfr	147.63862777538597	17.709773441728906	25.0	ab
59155.257	ztfr	170.4511752468475	14.390544290118223	25.0	ab
59157.430	ztfr	117.70637907805683	17.189909181108465	25.0	ab
59166.324	ztfr	71.18688672622807	10.32106883493209	25.0	ab
59168.285	ztfr	91.96021966586166	8.96506894180669	25.0	ab
59170.261	ztfr	61.150498251702935	9.318808645011828	25.0	ab
59119.328	ztfi	506.2907583460215	16.586796967419613	25.0	ab
59130.342	ztfi	879.0225168308842	15.51796694798444	25.0	ab
59131.312	ztfi	841.7827076608114	20.401373411888784	25.0	ab
59135.328	ztfi	691.1940643980488	14.798293495618143	25.0	ab
59137.325	ztfi	636.2092805735185	17.222119076080723	25.0	ab
59140.324	ztfi	477.3094139287512	17.001273058083996	25.0	ab
59141.282	ztfi	441.36714346343877	15.300246186091712	25.0	ab
59142.345	ztfi	405.5085354483835	15.218092936060277	25.0	ab
59143.266	ztfi	345.46177490582033	17.282026570637697	25.0	ab
59147.266	ztfi	262.7846540838493	22.448497146051746	25.0	ab
