ZTF20abkxion 0.09219622 220.959155 29.022787
filter ztfr
59033.174 20.848 0.284 
59039.236 20.103 0.066 
59042.214 19.648 0.048 
59044.216 19.442 0.049 
59045.194 19.493 0.042 
59046.193 19.517 0.052 
59047.217 19.451 0.041 
59048.187 19.491 0.042 
59049.172 19.509 0.057 
59049.183 19.450 0.042 
59050.261 19.606 0.078 
59050.262 19.556 0.074 
59051.207 19.470 0.050 
59051.208 19.662 0.060 
59052.247 19.574 0.052 
59052.247 19.527 0.048 
59059.177 19.870 0.093 
59060.194 20.136 0.128 
59062.212 19.813 0.117 
59063.172 20.254 0.138 
59065.170 20.050 0.155 
59067.180 20.440 0.142 
59069.193 20.885 0.173 
59070.187 20.744 0.154 
59072.187 20.798 0.178 
59081.184 20.391 0.187 
