ZTF20acpeldz 0.0362 69.786978 23.514907
filter ztfg
59158.323 19.625 0.134 
59165.304 19.066 0.025 
59167.401 19.107 0.039 
59169.364 19.012 0.024 
59171.406 19.114 0.023 
59175.307 19.206 0.042 
59177.403 19.526 0.040 
59179.442 19.607 0.084 
59181.213 19.416 0.135 
59187.367 20.316 0.242 
59189.385 20.083 0.102 
59192.217 21.216 0.284 
59194.217 20.653 0.180 
59205.296 21.310 0.218 
filter ztfr
59151.368 20.272 0.299 
59153.448 20.083 0.283 
59158.368 19.116 0.199 
59165.344 18.369 0.032 
59167.354 18.323 0.030 
59169.286 18.296 0.030 
59171.353 18.341 0.034 
59179.332 18.743 0.066 
59181.288 18.913 0.127 
59185.259 19.003 0.131 
59187.422 19.352 0.207 
59189.371 19.024 0.061 
59194.265 19.420 0.100 
59196.264 19.199 0.120 
59198.222 19.496 0.160 
59200.259 19.467 0.074 
59203.217 19.551 0.091 
59205.192 19.665 0.104 
59221.206 20.744 0.221 
59223.239 20.465 0.226 
59225.178 20.176 0.174 
59227.259 20.711 0.228 
