ZTF20acywefl 0.05859469 118.367218 28.262612
filter ztfg
59203.414 19.958 0.092 
59204.333 19.420 0.044 
59204.348 19.379 0.040 
59204.457 19.379 0.043 
59205.303 19.066 0.034 
59210.225 18.205 0.068 
59216.202 17.902 0.078 
59216.447 17.929 0.033 
59216.525 17.954 0.062 
59217.458 17.947 0.024 
59218.264 18.007 0.016 
59218.322 17.921 0.044 
59218.467 17.976 0.020 
59219.435 18.039 0.024 
59220.329 18.118 0.018 
59220.330 18.109 0.017 
59220.367 18.055 0.039 
59221.310 18.144 0.013 
59221.388 18.175 0.016 
59222.308 18.230 0.016 
59222.414 18.272 0.016 
59222.415 18.250 0.014 
59223.325 18.351 0.022 
59223.417 18.354 0.019 
59224.333 18.383 0.017 
59224.421 18.449 0.028 
59224.435 18.477 0.028 
59225.227 18.470 0.024 
59226.305 18.627 0.025 
59226.350 18.636 0.031 
59226.451 18.596 0.035 
59227.218 18.689 0.027 
59227.423 18.692 0.023 
59228.266 18.728 0.026 
59228.279 18.805 0.023 
59228.426 18.798 0.026 
59229.302 18.957 0.050 
59229.441 18.951 0.054 
59230.312 19.028 0.036 
59230.404 19.147 0.039 
59230.414 18.953 0.031 
59231.260 19.225 0.057 
59232.258 19.260 0.037 
59232.384 19.266 0.033 
59232.395 19.329 0.035 
59233.363 19.620 0.071 
59248.228 20.441 0.109 
59250.261 20.422 0.157 
59252.267 20.763 0.144 
59254.227 20.774 0.115 
59256.296 20.286 0.139 
59263.277 20.719 0.270 
59265.392 20.855 0.184 
59267.277 20.503 0.263 
59275.173 20.876 0.160 
filter ztfr
59203.431 20.239 0.279 
59204.364 19.375 0.080 
59204.400 19.251 0.073 
59204.435 19.484 0.094 
59205.196 19.056 0.097 
59210.295 18.291 0.049 
59216.248 17.877 0.045 
59216.382 17.862 0.047 
59217.327 18.029 0.035 
59217.381 17.986 0.036 
59218.306 17.982 0.032 
59218.393 17.992 0.033 
59218.484 17.930 0.029 
59219.304 18.022 0.032 
59219.363 18.010 0.030 
59220.298 18.015 0.027 
59220.310 17.997 0.025 
59220.423 18.157 0.106 
59221.359 18.081 0.028 
59222.331 18.178 0.029 
59222.352 18.116 0.026 
59222.469 18.061 0.029 
59223.275 18.159 0.038 
59223.359 18.109 0.029 
59224.288 18.255 0.032 
59224.297 18.176 0.039 
59224.361 18.237 0.034 
59225.285 18.241 0.033 
59225.380 18.237 0.034 
59226.283 18.388 0.041 
59226.408 18.464 0.041 
59226.424 18.244 0.046 
59227.284 18.309 0.035 
59227.363 18.397 0.031 
59228.244 18.422 0.036 
59228.341 18.401 0.031 
59228.342 18.441 0.032 
59229.420 18.526 0.072 
59230.258 18.456 0.038 
59230.289 18.512 0.039 
59230.456 18.598 0.045 
59231.308 18.539 0.053 
59231.359 18.551 0.039 
59232.300 18.465 0.034 
59232.329 18.485 0.033 
59232.350 18.595 0.035 
59233.259 18.736 0.040 
59248.247 19.556 0.099 
59250.229 19.509 0.108 
59252.204 19.573 0.083 
59254.196 19.595 0.096 
59256.214 19.593 0.090 
59260.253 19.864 0.140 
59265.234 19.769 0.117 
59267.175 19.771 0.215 
59275.279 20.327 0.261 
59278.185 20.089 0.183 
filter ztfi
59205.343 19.467 0.214 
59220.386 18.837 0.213 
59223.424 18.869 0.151 
59226.363 19.348 0.259 
59229.363 19.401 0.282 
59232.233 18.973 0.100 
59254.324 19.786 0.252 
