ZTF18aaaoaeq 0.1062282 155.5407 10.440019
filter ztfr
58156.320 19.947 0.116 
58156.339 19.810 0.106 
58160.351 19.892 0.113 
58160.358 19.893 0.123 
58160.395 19.783 0.103 
58160.396 19.956 0.125 
58165.363 20.246 0.184 
58165.396 20.166 0.163 
filter ztfi
58173.309 20.167 0.200 
58173.333 20.555 0.301 
58173.335 19.869 0.160 
58174.288 19.909 0.175 
58174.310 19.935 0.165 
58174.329 20.080 0.185 
58174.362 20.047 0.153 
58175.247 20.125 0.231 
58175.287 20.711 0.290 
58175.310 20.159 0.198 
58175.334 20.134 0.199 
