ZTF20aczgoml 0.04530352 226.097907 35.896757
filter ztfg
59215.514 17.292 0.022 
59217.535 17.159 0.013 
59219.449 17.205 0.018 
59221.516 17.185 0.008 
59223.529 17.226 0.007 
59224.531 17.265 0.007 
59226.528 17.316 0.006 
59228.506 17.387 0.006 
59230.484 17.534 0.009 
59230.500 17.554 0.010 
59232.554 17.694 0.007 
59232.556 17.678 0.006 
59249.541 19.123 0.037 
59251.430 19.296 0.034 
59253.529 19.505 0.035 
59258.521 19.647 0.043 
59263.516 20.035 0.108 
59265.427 19.997 0.102 
59267.386 19.783 0.125 
59269.455 20.011 0.092 
59275.459 19.911 0.147 
59276.443 20.395 0.176 
59290.426 20.231 0.067 
59292.429 20.592 0.102 
59295.281 20.620 0.283 
59297.341 20.400 0.196 
59297.342 20.481 0.211 
59298.326 20.295 0.225 
filter ztfr
59215.559 17.463 0.023 
59217.492 17.367 0.011 
59219.511 17.369 0.012 
59223.512 17.335 0.012 
59224.508 17.336 0.010 
59226.506 17.343 0.010 
59228.486 17.372 0.007 
59230.553 17.499 0.010 
59230.556 17.460 0.008 
59232.515 17.529 0.007 
59232.520 17.557 0.007 
59249.502 18.176 0.019 
59251.487 18.269 0.024 
59253.509 18.363 0.015 
59255.430 18.499 0.015 
59263.475 18.884 0.054 
59265.363 18.883 0.043 
59267.426 18.965 0.034 
59269.390 19.054 0.047 
59271.454 19.149 0.066 
59273.469 19.044 0.104 
59275.427 19.201 0.080 
59275.428 19.133 0.066 
59278.487 19.263 0.046 
59278.488 19.348 0.045 
59280.429 19.404 0.068 
59290.391 19.706 0.051 
59292.388 19.668 0.050 
59295.408 19.855 0.074 
59295.409 19.821 0.081 
59297.388 19.979 0.121 
59297.389 19.869 0.106 
filter ztfi
59217.511 17.820 0.023 
59224.471 18.023 0.045 
59227.529 18.068 0.024 
59231.515 18.241 0.025 
59249.479 18.366 0.043 
59252.414 18.366 0.022 
59255.514 18.549 0.023 
59262.391 19.061 0.082 
59265.342 19.117 0.082 
59268.405 19.068 0.053 
59272.355 19.202 0.158 
59276.464 19.462 0.082 
59280.348 19.777 0.136 
59291.329 19.963 0.107 
59295.372 19.960 0.121 
