ZTF19abizewg 0.06980035 338.736244 26.048586
filter ztfg
58690.496 20.923 0.294 
58695.401 19.825 0.094 
58695.402 19.824 0.111 
58695.402 19.958 0.073 
58695.403 19.810 0.067 
58704.392 19.446 0.058 
58704.392 19.433 0.051 
58704.436 19.507 0.069 
58704.437 19.415 0.048 
58717.416 20.669 0.217 
58717.416 20.982 0.268 
58725.329 21.347 0.278 
58725.329 21.729 0.280 
filter ztfr
58691.413 20.479 0.241 
58691.414 20.293 0.211 
58691.415 20.550 0.289 
58694.372 19.881 0.117 
58694.372 19.733 0.099 
58694.374 19.941 0.153 
58694.374 19.932 0.192 
58696.374 19.500 0.095 
58696.374 19.541 0.087 
58696.396 19.595 0.186 
58697.417 19.428 0.088 
58700.427 19.156 0.076 
58700.429 19.261 0.070 
58700.431 19.308 0.126 
58700.431 19.313 0.118 
58711.380 19.327 0.181 
58711.380 19.307 0.163 
58715.395 19.600 0.171 
58715.396 19.482 0.142 
58716.401 19.652 0.137 
58716.401 19.727 0.234 
58716.403 19.851 0.182 
58716.403 19.766 0.188 
58719.386 19.760 0.155 
58719.387 19.797 0.137 
58719.388 19.724 0.186 
58719.388 19.751 0.137 
