ZTF20acwuzqj 0.03642 121.425342 -9.814559
filter ztfr
59166.456 17.294 0.008 
59166.456 17.290 0.008 
59169.412 17.490 0.015 
59169.414 17.530 0.014 
59180.422 17.924 0.049 
59180.432 17.983 0.045 
59180.432 17.998 0.053 
59181.327 18.059 0.061 
59181.328 18.083 0.073 
59181.361 18.088 0.052 
59181.361 17.951 0.041 
59182.381 18.057 0.030 
59182.382 18.127 0.030 
59182.401 18.062 0.029 
59182.401 18.020 0.030 
59185.333 18.298 0.044 
59185.333 18.265 0.046 
59193.373 18.672 0.050 
59193.375 18.769 0.050 
59194.333 18.967 0.049 
59194.346 19.076 0.078 
59199.373 19.152 0.072 
59199.373 19.134 0.069 
59199.374 19.150 0.103 
59204.410 19.314 0.094 
59210.327 19.655 0.149 
59210.328 19.490 0.127 
59210.392 19.341 0.118 
59210.392 19.458 0.105 
59225.304 19.898 0.182 
59225.305 19.691 0.148 
59225.306 20.177 0.187 
59225.312 20.163 0.167 
59227.331 19.361 0.128 
59227.331 19.031 0.118 
59230.372 20.090 0.126 
59230.373 20.278 0.175 
