ZTF19acxolhu 0.07403504 141.642869 -1.650282
filter ztfg
58837.481 18.688 0.039 
58849.462 19.467 0.054 
58855.439 19.858 0.100 
58866.397 21.004 0.191 
58873.356 20.950 0.144 
58876.357 21.105 0.193 
filter ztfr
58837.439 18.819 0.059 
58852.436 19.148 0.029 
58859.341 19.361 0.137 
58860.353 19.487 0.182 
58863.341 19.511 0.106 
58866.374 19.816 0.082 
58873.314 19.890 0.121 
58876.294 20.164 0.088 
58880.329 20.274 0.121 
58881.315 20.551 0.151 
58891.314 20.388 0.203 
58895.274 20.446 0.127 
58895.275 20.711 0.151 
58896.287 20.538 0.138 
58898.313 21.126 0.214 
58898.314 20.641 0.132 
58899.315 20.686 0.147 
58900.254 20.774 0.170 
58903.229 20.741 0.167 
58904.229 21.012 0.208 
58909.299 20.887 0.293 
58909.300 20.706 0.281 
