ZTF18accnnyu 0.02824 142.624245 16.343654
filter ztfg
58425.540 16.999 0.008 
58428.541 17.122 0.006 
58430.548 17.228 0.006 
58431.482 17.345 0.010 
58434.539 17.600 0.013 
58437.505 17.852 0.012 
58439.484 18.001 0.013 
58440.461 18.101 0.011 
58461.477 19.506 0.061 
58480.485 19.563 0.097 
58486.436 20.048 0.117 
filter ztfr
58425.498 16.947 0.011 
58428.501 17.136 0.007 
58431.526 17.333 0.015 
58434.498 17.531 0.025 
58437.537 17.631 0.011 
58439.387 17.619 0.011 
58439.388 17.656 0.014 
58440.540 17.682 0.010 
58443.463 17.583 0.014 
58447.441 17.778 0.025 
58447.517 17.738 0.028 
58448.463 17.771 0.027 
58448.464 17.826 0.025 
58449.437 17.813 0.021 
58455.462 18.138 0.021 
58461.523 18.523 0.038 
58471.526 18.949 0.046 
58472.411 18.870 0.040 
58472.436 18.919 0.037 
58480.454 19.270 0.074 
58481.420 19.334 0.069 
58481.436 19.264 0.055 
58486.458 19.500 0.070 
58486.475 19.414 0.055 
58493.437 19.683 0.050 
58493.437 19.688 0.057 
