ZTF18aagrcir 0.07805389 215.692206 49.312289
filter ztfg
58217.300 18.600 0.024 
58217.324 18.707 0.032 
58217.325 18.595 0.029 
58217.326 18.708 0.029 
58217.351 18.666 0.030 
58217.358 18.613 0.021 
58217.359 18.711 0.020 
58217.360 18.672 0.023 
58217.394 18.614 0.020 
58217.454 18.565 0.022 
58218.283 18.697 0.026 
58218.306 18.732 0.026 
58218.331 18.656 0.027 
58218.347 18.700 0.021 
58218.348 18.676 0.020 
58218.372 18.635 0.022 
58218.373 18.688 0.025 
58218.381 18.667 0.024 
58218.445 18.594 0.026 
58219.283 18.672 0.030 
58219.284 18.743 0.035 
58219.308 18.761 0.056 
58219.329 18.770 0.028 
58219.340 18.736 0.030 
58219.372 18.725 0.028 
58219.398 18.645 0.028 
58222.286 18.854 0.040 
58222.301 18.840 0.040 
58222.311 18.938 0.040 
58222.312 18.894 0.038 
58222.325 18.851 0.039 
58222.326 18.886 0.034 
58222.326 18.864 0.037 
58222.336 18.956 0.043 
58222.374 18.900 0.034 
58222.392 18.900 0.036 
58223.300 18.927 0.026 
58223.401 18.855 0.029 
58224.297 18.920 0.051 
58224.319 19.052 0.061 
58224.424 18.895 0.049 
58226.274 19.020 0.033 
58226.288 19.092 0.032 
58226.302 19.071 0.026 
58226.311 19.000 0.026 
58226.325 19.028 0.029 
58226.325 19.086 0.031 
58226.326 19.041 0.027 
58226.352 19.044 0.028 
58226.374 19.005 0.032 
58226.395 19.073 0.039 
58227.197 19.073 0.037 
58227.197 19.085 0.035 
58227.198 19.067 0.033 
58227.198 19.109 0.037 
58227.198 19.110 0.040 
58227.199 19.188 0.035 
58227.199 19.112 0.037 
58227.200 19.115 0.041 
58227.200 19.070 0.036 
58227.201 19.138 0.044 
58227.201 19.118 0.040 
58227.202 19.126 0.037 
58227.202 19.060 0.033 
58227.203 19.085 0.033 
58227.203 19.124 0.033 
58227.204 19.098 0.039 
58227.204 19.038 0.035 
58227.204 19.143 0.044 
58227.205 19.141 0.039 
58227.205 19.105 0.033 
58227.206 19.129 0.035 
58227.206 19.140 0.041 
58227.207 19.079 0.033 
58227.207 19.068 0.034 
58227.208 19.085 0.033 
58227.208 19.170 0.039 
58227.209 19.150 0.040 
58227.209 19.120 0.041 
58227.209 19.098 0.039 
58227.210 19.028 0.038 
58227.210 19.030 0.038 
58227.211 19.141 0.042 
58227.211 19.170 0.048 
58227.212 19.135 0.043 
58227.212 19.071 0.036 
58227.213 19.041 0.037 
58227.213 19.031 0.038 
58227.214 19.069 0.038 
58227.214 19.105 0.044 
58227.214 19.060 0.040 
58227.215 19.108 0.038 
58227.215 19.089 0.042 
58227.216 19.095 0.040 
58227.216 19.182 0.045 
58227.217 19.035 0.033 
58227.217 19.039 0.036 
58227.218 19.083 0.039 
58227.218 19.076 0.040 
58227.219 19.116 0.036 
58227.219 19.072 0.037 
58227.219 19.017 0.035 
58227.220 19.089 0.032 
58227.220 19.019 0.034 
58227.221 19.070 0.037 
58227.221 19.103 0.037 
58227.222 19.100 0.042 
58227.222 19.095 0.046 
58227.223 19.157 0.052 
58227.223 19.125 0.047 
58227.224 19.072 0.053 
58227.224 19.052 0.040 
58227.225 19.136 0.046 
58227.225 19.002 0.041 
58227.225 19.002 0.041 
58227.226 19.159 0.053 
58227.226 19.094 0.047 
58227.227 19.095 0.045 
58227.227 19.020 0.045 
58227.228 19.086 0.045 
58227.228 19.125 0.044 
58227.229 19.140 0.042 
58227.229 19.143 0.042 
58227.230 18.977 0.039 
58227.230 19.034 0.035 
58227.230 19.124 0.041 
58227.231 19.004 0.032 
58227.231 19.117 0.034 
58227.232 19.129 0.046 
58227.232 19.201 0.040 
58227.233 19.145 0.040 
58227.233 19.070 0.038 
58227.234 19.141 0.037 
58227.234 19.085 0.033 
58227.235 19.065 0.032 
58227.235 19.049 0.032 
58227.235 19.098 0.036 
58227.236 19.047 0.038 
58227.236 19.146 0.041 
58227.237 19.067 0.036 
58227.237 19.132 0.035 
58227.289 19.122 0.043 
58229.366 19.198 0.034 
58229.367 19.262 0.035 
58229.368 19.205 0.034 
58229.382 19.214 0.041 
58229.415 19.177 0.041 
58231.216 19.344 0.058 
58231.217 19.200 0.050 
58231.217 19.325 0.053 
58231.217 19.257 0.050 
58231.218 19.375 0.061 
58231.218 19.295 0.044 
58231.219 19.368 0.047 
58231.219 19.238 0.045 
58231.220 19.298 0.052 
58231.220 19.362 0.063 
58231.221 19.237 0.053 
58231.221 19.237 0.048 
58231.222 19.305 0.051 
58231.222 19.327 0.049 
58231.222 19.307 0.049 
58231.223 19.350 0.047 
58231.223 19.357 0.049 
58231.224 19.295 0.044 
58231.224 19.363 0.043 
58231.225 19.202 0.038 
58231.225 19.301 0.041 
58231.226 19.228 0.042 
58231.226 19.294 0.042 
58231.227 19.268 0.043 
58231.227 19.169 0.038 
58231.228 19.346 0.049 
58231.228 19.196 0.043 
58231.228 19.376 0.047 
58231.229 19.244 0.044 
58231.229 19.238 0.041 
58231.230 19.318 0.048 
58231.230 19.333 0.047 
58231.231 19.283 0.047 
58231.231 19.235 0.050 
58231.232 19.173 0.040 
58231.232 19.276 0.045 
58231.233 19.319 0.050 
58231.233 19.235 0.055 
58231.234 19.328 0.057 
58231.234 19.322 0.049 
58231.235 19.259 0.053 
58231.235 19.272 0.057 
58231.236 19.354 0.057 
58231.236 19.279 0.050 
58231.237 19.298 0.050 
58231.237 19.234 0.042 
58231.238 19.360 0.046 
58231.238 19.214 0.040 
58231.238 19.300 0.046 
58231.239 19.269 0.041 
58231.239 19.304 0.041 
58231.240 19.337 0.043 
58231.240 19.295 0.037 
58231.241 19.244 0.037 
58231.241 19.306 0.039 
58231.242 19.231 0.036 
58231.242 19.228 0.035 
58231.243 19.319 0.038 
58231.243 19.309 0.036 
58231.244 19.241 0.036 
58231.244 19.279 0.037 
58231.244 19.247 0.037 
58231.245 19.170 0.037 
58231.245 19.282 0.040 
58231.246 19.240 0.039 
58231.246 19.219 0.036 
58231.247 19.279 0.042 
58231.247 19.339 0.045 
58231.248 19.326 0.041 
58231.248 19.291 0.040 
58231.249 19.278 0.041 
58231.249 19.272 0.041 
58231.249 19.250 0.042 
58231.250 19.276 0.040 
58231.250 19.316 0.044 
58231.251 19.181 0.036 
58231.251 19.244 0.039 
58231.252 19.252 0.037 
58231.252 19.273 0.039 
58231.253 19.140 0.034 
58231.253 19.302 0.039 
58231.254 19.338 0.042 
58231.254 19.325 0.035 
58231.254 19.261 0.037 
58231.255 19.324 0.038 
58231.255 19.252 0.036 
58231.256 19.183 0.034 
58231.256 19.322 0.040 
58231.257 19.258 0.037 
58231.286 19.189 0.039 
58231.324 19.211 0.053 
58231.325 19.339 0.058 
58231.340 19.363 0.068 
58231.372 19.314 0.061 
58232.226 19.120 0.160 
58232.228 19.049 0.138 
58232.362 19.390 0.083 
58242.277 19.689 0.063 
58242.279 19.872 0.070 
58242.299 19.661 0.056 
58242.323 19.792 0.064 
58243.282 19.855 0.072 
58243.283 19.921 0.074 
58243.308 19.856 0.074 
58243.332 19.993 0.104 
58244.305 19.707 0.084 
58244.305 19.810 0.074 
58244.319 19.761 0.070 
58244.337 19.749 0.072 
58246.229 19.867 0.077 
58246.246 20.022 0.109 
58246.257 19.841 0.092 
58246.258 19.894 0.094 
58247.249 19.817 0.060 
58247.260 19.763 0.064 
58247.289 19.975 0.069 
58247.290 19.966 0.077 
58248.267 19.900 0.081 
58248.284 19.992 0.095 
58248.285 19.854 0.084 
58248.286 19.781 0.074 
58248.311 19.966 0.095 
58249.249 20.020 0.127 
58255.269 20.230 0.105 
58255.270 20.099 0.098 
58255.270 20.176 0.096 
58255.287 20.136 0.105 
58256.266 20.380 0.137 
58256.266 20.138 0.095 
58257.219 20.181 0.081 
58257.249 20.258 0.099 
58257.258 20.148 0.090 
58257.259 20.077 0.086 
58257.288 20.250 0.101 
58257.289 20.207 0.100 
58257.308 20.225 0.102 
58258.227 20.477 0.118 
58258.237 20.217 0.094 
58258.238 20.336 0.115 
58258.239 20.170 0.098 
58258.270 20.423 0.133 
58261.320 20.508 0.260 
58262.306 20.449 0.194 
58262.318 20.538 0.218 
58263.363 20.304 0.208 
58266.262 20.582 0.249 
58266.302 20.364 0.194 
58267.307 20.351 0.207 
58269.170 20.448 0.124 
58269.203 20.357 0.164 
58270.305 20.646 0.185 
58271.171 20.627 0.180 
58272.173 20.728 0.147 
58272.289 20.730 0.146 
