ZTF19abfwnar 0.07131464 242.045989 54.869547
filter ztfr
58676.225 18.311 0.020 
58676.225 18.361 0.021 
58676.228 18.367 0.025 
58676.228 18.399 0.029 
58677.219 18.232 0.022 
58677.220 18.284 0.024 
58677.222 18.206 0.019 
58677.223 18.256 0.019 
58680.290 17.936 0.022 
58680.290 17.970 0.023 
58728.239 20.078 0.115 
58728.240 20.306 0.179 
