ZTF20aaurwih 0.06746615 116.758258 51.718397
filter ztfg
58941.162 21.265 0.296 
58954.166 18.541 0.020 
58956.203 18.525 0.020 
58962.198 18.782 0.025 
58963.160 18.891 0.022 
58963.162 18.836 0.022 
58963.176 18.840 0.020 
58963.179 18.893 0.022 
58964.177 18.975 0.029 
58965.196 19.047 0.028 
58967.200 19.337 0.053 
58968.225 19.336 0.055 
58972.219 19.753 0.137 
58975.222 19.898 0.205 
58978.179 20.192 0.094 
58981.158 20.794 0.204 
58987.225 21.090 0.260 
58987.226 20.917 0.197 
filter ztfr
58941.181 20.717 0.219 
58944.163 19.630 0.092 
58944.163 19.592 0.087 
58954.196 18.597 0.022 
58955.204 18.528 0.022 
58955.206 18.511 0.020 
58956.173 18.509 0.020 
58962.183 18.560 0.022 
58964.241 18.685 0.025 
58966.166 18.847 0.055 
58966.167 18.803 0.064 
58968.179 18.914 0.033 
58972.186 19.112 0.055 
58975.187 19.243 0.083 
58978.238 19.186 0.083 
58981.222 19.434 0.095 
58987.163 19.754 0.074 
58987.166 19.593 0.076 
58998.165 20.105 0.152 
58998.170 20.435 0.180 
58998.175 20.457 0.176 
58998.180 20.396 0.172 
59004.167 19.998 0.226 
