ZTF20abmzfql 0.07746504 335.700906 23.631482
filter ztfg
59047.442 21.174 0.135 
59047.457 21.091 0.135 
59048.443 20.545 0.085 
59048.490 20.748 0.189 
59048.491 20.476 0.168 
59049.443 20.181 0.060 
59050.409 20.050 0.055 
59051.458 19.644 0.042 
59052.491 19.283 0.051 
59052.491 19.271 0.050 
59053.378 19.137 0.024 
59053.380 19.061 0.020 
59053.381 19.046 0.019 
59054.494 18.858 0.038 
59055.406 18.821 0.018 
59055.415 18.811 0.018 
59056.419 18.692 0.018 
59056.420 18.655 0.017 
59056.434 18.678 0.016 
59057.401 18.652 0.015 
59059.405 18.504 0.017 
59059.406 18.524 0.016 
59059.412 18.516 0.014 
59060.348 18.507 0.020 
59060.378 18.436 0.014 
59061.461 18.427 0.014 
59062.387 18.398 0.026 
59062.456 18.376 0.016 
59062.458 18.467 0.018 
59063.454 18.402 0.033 
59064.474 18.410 0.044 
59065.253 18.454 0.087 
59065.256 18.348 0.069 
59066.373 18.442 0.041 
59066.383 18.444 0.041 
59067.375 18.430 0.031 
59067.377 18.456 0.034 
59068.458 18.561 0.033 
59069.310 18.544 0.027 
59070.331 18.585 0.020 
59071.429 18.751 0.027 
59071.430 18.656 0.024 
59071.430 18.688 0.023 
59072.417 18.721 0.023 
59073.331 18.808 0.021 
59073.339 18.858 0.023 
59075.349 18.940 0.023 
59075.387 18.989 0.024 
59077.359 19.174 0.023 
59077.397 19.135 0.027 
59077.399 19.197 0.028 
59078.397 19.257 0.042 
59079.332 19.293 0.030 
59079.337 19.354 0.030 
59080.398 19.392 0.040 
59080.401 19.405 0.042 
59080.401 19.382 0.033 
59081.307 19.477 0.035 
59081.317 19.531 0.041 
59082.296 19.615 0.049 
59084.358 19.682 0.044 
59084.379 19.737 0.045 
59085.371 19.732 0.043 
59085.386 19.817 0.049 
59086.296 19.923 0.049 
59087.347 20.128 0.073 
59087.348 19.939 0.063 
59087.353 20.028 0.065 
59088.325 20.125 0.083 
59089.287 20.121 0.127 
59089.391 20.155 0.088 
59090.285 19.952 0.142 
59090.402 20.297 0.088 
59090.403 20.189 0.079 
59091.304 20.490 0.193 
59091.450 20.292 0.089 
59092.303 20.532 0.242 
59096.174 20.424 0.196 
59097.349 20.336 0.194 
59098.229 20.486 0.151 
59106.313 20.829 0.162 
59106.314 20.898 0.189 
59106.331 20.950 0.203 
59107.331 21.128 0.185 
59107.332 20.854 0.180 
59107.359 20.897 0.167 
59108.306 21.028 0.187 
59108.360 21.190 0.207 
59111.328 21.176 0.182 
59111.337 21.284 0.191 
59111.343 21.232 0.191 
59112.292 21.363 0.178 
59112.293 21.143 0.152 
59112.305 21.307 0.166 
59113.191 21.307 0.179 
59113.366 21.289 0.198 
59113.372 21.393 0.211 
59114.243 21.399 0.179 
59114.316 21.308 0.187 
59115.215 21.193 0.190 
59115.251 20.980 0.140 
59115.252 21.329 0.196 
59115.253 21.255 0.177 
59116.246 21.188 0.205 
59116.275 21.548 0.229 
59116.299 21.275 0.166 
59116.300 21.430 0.204 
59117.265 21.677 0.311 
59117.322 21.291 0.176 
59117.323 21.123 0.155 
59118.359 21.162 0.178 
59118.360 21.537 0.245 
59118.443 21.039 0.240 
59119.222 21.236 0.295 
59119.363 21.240 0.311 
59120.452 20.639 0.292 
filter ztfr
59048.407 21.176 0.182 
59049.405 20.437 0.094 
59050.451 19.928 0.069 
59050.453 19.957 0.059 
59051.391 19.761 0.051 
59051.399 19.705 0.045 
59052.404 19.461 0.033 
59053.443 19.234 0.029 
59053.444 19.248 0.027 
59054.388 19.141 0.028 
59054.404 19.139 0.031 
59055.368 19.013 0.024 
59055.455 18.977 0.024 
59056.382 18.901 0.024 
59056.383 18.924 0.024 
59056.494 18.891 0.038 
59057.360 18.799 0.022 
59057.373 18.833 0.022 
59059.330 18.608 0.026 
59059.451 18.635 0.021 
59059.454 18.671 0.018 
59060.416 18.498 0.015 
59060.426 18.561 0.018 
59061.305 18.462 0.026 
59061.420 18.549 0.017 
59062.467 18.514 0.019 
59062.467 18.495 0.018 
59063.330 18.431 0.031 
59063.394 18.467 0.033 
59064.348 18.445 0.049 
59064.431 18.455 0.037 
59065.384 18.379 0.044 
59065.405 18.422 0.051 
59065.406 18.516 0.056 
59066.447 18.545 0.043 
59067.422 18.491 0.032 
59068.387 18.455 0.025 
59068.387 18.478 0.027 
59069.408 18.448 0.023 
59069.447 18.527 0.025 
59070.311 18.470 0.026 
59071.338 18.567 0.023 
59071.339 18.576 0.023 
59071.393 18.576 0.022 
59072.329 18.620 0.022 
59073.312 18.696 0.024 
59075.328 18.814 0.026 
59076.339 18.793 0.027 
