ZTF18acavnyd 0.05976482 317.993797 -0.218186
filter ztfg
58290.439 21.389 0.209 
58293.439 19.991 0.057 
58297.441 18.977 0.087 
58301.398 18.388 0.037 
58301.399 18.437 0.042 
58301.430 18.492 0.049 
58302.377 18.379 0.040 
58302.378 18.343 0.040 
58302.421 18.411 0.040 
58305.442 18.320 0.022 
58311.355 18.544 0.021 
58317.396 19.144 0.036 
58320.443 19.501 0.071 
58323.399 19.899 0.112 
58336.281 21.034 0.238 
58336.281 20.630 0.166 
filter ztfr
58290.462 20.889 0.160 
58293.482 19.768 0.083 
58297.419 18.938 0.065 
58301.428 18.484 0.079 
58302.398 18.182 0.056 
58305.399 18.326 0.037 
58317.421 18.704 0.026 
58320.380 18.885 0.027 
58323.463 18.934 0.033 
58326.377 19.084 0.120 
58329.357 19.426 0.147 
58338.325 19.705 0.066 
58348.331 20.333 0.102 
58351.359 20.132 0.101 
filter ztfi
58295.347 19.379 0.106 
58302.471 18.638 0.055 
58307.419 18.817 0.048 
58321.358 19.310 0.080 
58329.378 19.504 0.261 
58333.357 19.426 0.136 
58351.316 20.844 0.294 
