ZTF19abalbim 0.01158741 280.566218 24.896884
filter ztfr
58678.363 21.067 0.216 
58678.366 20.659 0.149 
58678.371 20.625 0.144 
58678.388 20.867 0.179 
58678.407 20.473 0.129 
58678.407 20.908 0.191 
58679.246 20.748 0.176 
58679.371 20.748 0.187 
58679.372 20.885 0.233 
58679.389 21.021 0.244 
58679.393 20.507 0.162 
58679.420 20.823 0.249 
58679.429 20.843 0.272 
58680.275 21.129 0.311 
58680.348 20.965 0.286 
58680.388 20.766 0.221 
58680.418 20.814 0.307 
58680.418 20.818 0.259 
58681.305 20.649 0.249 
58681.316 20.679 0.195 
58682.267 20.590 0.153 
58682.311 20.794 0.192 
58682.323 20.819 0.175 
58682.346 20.679 0.161 
58682.372 20.843 0.195 
58683.328 20.758 0.181 
58683.369 21.034 0.196 
58684.176 21.209 0.186 
58684.304 20.847 0.184 
58684.338 20.797 0.170 
58686.307 21.060 0.183 
58686.332 21.224 0.262 
58686.333 21.153 0.258 
58688.361 20.817 0.155 
58690.341 20.937 0.153 
58691.197 21.109 0.143 
58692.322 20.543 0.102 
58695.231 21.327 0.169 
58696.352 21.255 0.176 
58697.181 21.259 0.157 
58697.182 21.178 0.150 
58703.184 21.378 0.283 
58704.201 21.357 0.230 
58704.248 21.419 0.273 
58705.293 20.785 0.202 
58706.264 21.547 0.307 
58706.279 21.613 0.309 
58706.324 21.273 0.278 
58708.331 20.807 0.235 
58709.271 20.950 0.241 
