ZTF18aaiscil 0.029 185.392571 55.574458
filter ztfg
58202.283 18.438 0.135 
58202.284 18.667 0.032 
58202.297 18.689 0.026 
58202.299 18.471 0.123 
58202.300 18.425 0.098 
58202.300 18.634 0.027 
58202.326 18.615 0.025 
58202.327 18.682 0.028 
58202.328 18.434 0.124 
58202.330 18.489 0.125 
58202.337 18.393 0.113 
58202.338 18.653 0.025 
58202.362 18.431 0.105 
58202.363 18.705 0.025 
58203.351 18.732 0.031 
58203.351 18.518 0.150 
58203.365 18.721 0.031 
58203.365 18.405 0.112 
58204.211 18.446 0.130 
58204.212 18.667 0.057 
58204.273 18.307 0.082 
58204.273 18.770 0.047 
58204.311 18.786 0.060 
58204.312 18.327 0.092 
58204.314 18.359 0.093 
58204.332 18.792 0.066 
58204.335 18.389 0.102 
58204.336 18.806 0.060 
58204.355 18.390 0.109 
58204.357 18.732 0.046 
58205.264 18.347 0.111 
58205.265 18.467 0.146 
58205.286 18.722 0.046 
58205.287 18.310 0.114 
58205.288 18.470 0.134 
58205.294 18.765 0.051 
58205.295 18.860 0.058 
58205.312 18.520 0.167 
58205.328 18.786 0.058 
58205.330 18.739 0.053 
58205.332 18.316 0.127 
58205.335 18.590 0.190 
58205.353 18.741 0.085 
58205.356 18.448 0.171 
58205.357 18.684 0.088 
58205.394 18.815 0.085 
58206.232 18.452 0.137 
58206.260 18.308 0.131 
58206.277 18.745 0.052 
58206.278 18.243 0.110 
58206.293 18.358 0.184 
58206.314 18.319 0.150 
58206.335 18.467 0.187 
58206.336 18.820 0.052 
58206.372 18.869 0.057 
58206.376 18.842 0.053 
58207.311 18.757 0.065 
58207.312 18.583 0.201 
58207.332 19.017 0.103 
58207.332 18.351 0.152 
58207.335 18.644 0.123 
58207.354 18.422 0.161 
58207.356 18.377 0.154 
58208.303 18.683 0.132 
58208.354 18.977 0.158 
58208.356 18.568 0.206 
58208.374 19.030 0.147 
58208.391 18.750 0.157 
58211.328 18.893 0.074 
58216.254 18.863 0.140 
58216.256 18.777 0.123 
58227.304 19.197 0.039 
58227.305 19.274 0.047 
58227.306 19.196 0.041 
58227.317 19.223 0.044 
58229.265 18.852 0.180 
58229.266 18.770 0.155 
58232.164 18.682 0.171 
58232.166 19.277 0.128 
58232.183 19.346 0.130 
58232.184 19.617 0.217 
58232.184 18.786 0.231 
58232.185 18.623 0.215 
58232.259 19.487 0.102 
58232.259 18.711 0.201 
58233.237 18.740 0.223 
58233.238 18.515 0.162 
58233.241 19.362 0.062 
58234.162 18.561 0.234 
58234.177 18.818 0.188 
58234.182 18.723 0.180 
58234.202 19.224 0.090 
58234.203 18.774 0.239 
58234.224 18.590 0.181 
58234.240 18.608 0.203 
58234.241 18.545 0.266 
58235.165 18.779 0.221 
58235.166 19.531 0.107 
58235.177 19.433 0.091 
58235.179 19.388 0.087 
58235.180 18.527 0.184 
58235.183 18.929 0.271 
58235.231 18.629 0.178 
58235.234 18.941 0.271 
58235.235 19.445 0.094 
58235.320 19.332 0.099 
58235.320 18.815 0.204 
58236.177 18.786 0.257 
58236.178 18.676 0.198 
58236.179 18.767 0.226 
58236.183 19.132 0.095 
58236.195 19.428 0.109 
58236.196 19.459 0.107 
58236.196 19.461 0.106 
58236.197 18.516 0.171 
58236.224 18.771 0.201 
58236.315 18.837 0.230 
58236.321 19.482 0.154 
58236.322 19.524 0.150 
58236.323 19.543 0.171 
58237.176 19.200 0.093 
58237.179 19.408 0.106 
58237.202 18.720 0.204 
58237.221 18.654 0.160 
58237.222 18.879 0.220 
58237.223 19.504 0.189 
58237.224 19.256 0.133 
58237.238 19.033 0.295 
58237.239 19.457 0.145 
58238.152 19.563 0.158 
58238.155 18.898 0.215 
58243.201 19.189 0.300 
58243.212 19.358 0.285 
58243.215 19.257 0.261 
58249.197 19.750 0.067 
58249.198 19.629 0.058 
58249.225 19.653 0.072 
58250.202 19.322 0.200 
58267.173 19.113 0.297 
58267.173 19.796 0.170 
58267.193 18.962 0.288 
58267.196 20.180 0.195 
58267.229 20.245 0.214 
filter ztfr
58198.373 17.918 0.014 
58198.373 17.981 0.016 
58199.277 17.999 0.024 
58216.230 18.831 0.050 
58221.249 18.902 0.064 
58221.250 19.044 0.076 
58221.251 18.940 0.078 
58222.269 18.844 0.044 
58222.272 18.948 0.048 
58222.273 18.859 0.041 
58222.277 19.035 0.066 
58222.293 18.947 0.046 
58222.333 18.903 0.045 
58224.291 19.060 0.058 
58224.295 19.051 0.063 
58224.331 19.031 0.211 
58226.156 18.932 0.036 
58226.156 19.008 0.039 
58226.157 19.003 0.045 
58226.158 18.930 0.047 
58226.159 18.979 0.061 
58226.159 18.864 0.050 
58226.160 18.943 0.058 
58226.160 18.879 0.047 
58226.161 18.983 0.058 
58226.161 18.919 0.049 
58226.162 19.033 0.053 
58226.162 18.884 0.042 
58226.162 19.017 0.048 
58226.163 18.950 0.042 
58226.163 18.912 0.035 
58226.164 18.941 0.038 
58226.164 19.032 0.039 
58226.165 18.943 0.037 
58226.165 18.955 0.036 
58226.166 18.959 0.042 
58226.166 18.942 0.039 
58226.167 18.998 0.039 
58226.167 18.998 0.043 
58226.168 19.030 0.050 
58226.168 19.105 0.044 
58226.168 18.929 0.037 
58226.169 19.003 0.038 
58226.169 18.993 0.035 
58226.170 19.029 0.037 
58226.170 18.961 0.032 
58226.171 18.965 0.032 
58226.171 18.976 0.033 
58226.172 18.989 0.035 
58226.172 18.971 0.034 
58226.173 18.982 0.034 
58226.173 19.028 0.032 
58226.173 19.069 0.036 
58226.174 19.010 0.035 
58226.197 18.992 0.030 
58226.197 18.985 0.028 
58226.198 18.966 0.026 
58226.198 18.985 0.029 
58226.199 18.959 0.029 
58226.199 19.015 0.029 
58226.200 19.012 0.030 
58226.200 19.000 0.027 
58226.201 18.997 0.027 
58226.201 19.057 0.031 
58226.201 18.993 0.027 
58226.202 18.984 0.028 
58226.202 18.971 0.026 
58226.203 18.961 0.028 
58226.203 18.978 0.028 
58226.219 18.948 0.032 
58226.219 19.032 0.033 
58226.220 18.999 0.030 
58226.220 18.986 0.030 
58226.221 18.968 0.030 
58226.221 19.076 0.031 
58226.221 18.968 0.026 
58226.222 18.939 0.029 
58226.222 19.017 0.031 
58226.223 18.979 0.035 
58226.223 19.031 0.031 
58226.224 18.977 0.033 
58226.224 19.043 0.032 
58226.225 19.058 0.030 
58226.225 19.033 0.032 
58226.226 18.990 0.030 
58226.226 18.987 0.029 
58226.227 18.957 0.029 
58226.227 19.021 0.029 
58226.227 18.960 0.028 
58226.228 19.051 0.029 
58226.228 18.991 0.031 
58226.229 18.915 0.027 
58226.229 18.914 0.027 
58226.230 18.974 0.030 
58227.261 19.070 0.072 
58229.197 19.072 0.043 
58229.198 19.005 0.036 
58229.198 19.067 0.038 
58229.199 18.973 0.035 
58229.199 19.096 0.041 
58229.200 19.056 0.039 
58229.200 19.064 0.040 
58229.201 19.011 0.035 
58229.201 19.017 0.036 
58229.202 19.067 0.038 
58229.202 19.005 0.034 
58229.202 19.053 0.035 
58229.203 19.011 0.034 
58229.203 19.034 0.034 
58229.204 19.042 0.036 
58229.204 19.060 0.035 
58229.205 19.005 0.036 
58229.205 19.032 0.037 
58229.206 19.012 0.036 
58229.206 19.038 0.036 
58229.207 19.004 0.033 
58229.207 18.996 0.033 
58229.207 19.012 0.035 
58229.208 19.052 0.035 
58229.208 19.081 0.035 
58229.209 19.018 0.032 
58229.209 19.023 0.034 
58229.210 19.057 0.034 
58229.210 19.063 0.036 
58229.211 19.043 0.037 
58229.215 19.056 0.036 
58229.215 19.013 0.034 
58229.221 19.046 0.035 
58229.222 19.051 0.030 
58229.222 19.093 0.030 
58229.223 19.120 0.033 
58229.223 19.073 0.034 
58229.224 19.103 0.033 
58229.224 19.040 0.033 
58229.225 19.042 0.032 
58229.225 19.045 0.033 
58229.226 19.080 0.035 
58229.226 19.107 0.037 
58229.226 19.039 0.035 
58229.227 19.059 0.034 
58229.227 19.059 0.033 
58229.228 19.062 0.033 
58229.228 19.066 0.033 
58229.229 19.113 0.036 
58229.229 19.055 0.035 
58229.230 19.012 0.033 
58229.230 19.084 0.035 
58229.231 19.003 0.031 
58229.231 19.086 0.034 
58229.231 19.051 0.034 
58229.232 19.104 0.035 
58229.232 19.057 0.032 
58229.233 19.127 0.035 
58229.233 19.090 0.035 
58229.234 19.051 0.035 
58229.234 19.056 0.034 
58229.235 19.053 0.033 
58229.235 19.055 0.030 
58229.236 19.046 0.033 
58229.236 19.058 0.033 
58229.236 18.990 0.032 
58229.237 19.028 0.033 
58229.237 19.008 0.032 
58229.238 19.058 0.036 
58229.238 19.075 0.035 
58229.239 19.032 0.035 
58229.239 19.126 0.040 
58229.240 18.958 0.033 
58229.240 19.057 0.037 
58229.241 19.040 0.035 
58229.241 19.046 0.035 
58229.241 19.083 0.040 
58229.242 19.102 0.036 
58229.242 19.014 0.035 
58229.243 19.085 0.035 
58229.243 19.079 0.036 
58229.244 19.117 0.039 
58229.244 19.116 0.038 
58229.245 19.122 0.038 
58229.245 19.058 0.036 
58229.246 19.039 0.035 
58229.246 19.020 0.035 
58229.247 19.055 0.032 
58229.247 19.078 0.037 
58229.247 19.063 0.035 
58229.248 19.058 0.036 
58229.248 19.084 0.037 
58229.249 19.146 0.038 
58229.249 19.087 0.035 
58229.250 19.034 0.039 
58229.250 19.024 0.038 
58229.251 19.077 0.038 
58229.251 19.043 0.035 
58229.252 19.085 0.037 
58229.252 19.055 0.035 
58229.252 19.068 0.033 
58229.253 19.085 0.031 
58229.253 18.991 0.033 
58229.254 19.070 0.034 
58229.254 19.044 0.035 
58231.182 19.201 0.080 
58231.184 19.186 0.082 
58231.185 19.391 0.131 
58231.280 19.341 0.088 
58231.281 19.304 0.105 
58231.317 19.211 0.084 
58231.319 19.058 0.074 
58231.320 19.158 0.070 
58231.345 19.272 0.106 
58232.203 19.052 0.255 
58232.219 19.703 0.298 
58232.220 19.271 0.147 
58232.220 19.353 0.124 
58232.221 19.110 0.126 
58233.182 19.066 0.124 
58233.185 19.110 0.089 
58233.186 19.170 0.079 
58233.197 19.211 0.115 
58233.198 19.347 0.166 
58233.198 19.536 0.135 
58243.166 19.827 0.112 
58246.264 20.073 0.178 
58248.261 19.331 0.094 
58248.277 19.472 0.102 
58249.239 20.372 0.263 
58249.241 20.081 0.182 
58249.256 20.586 0.295 
58250.224 20.249 0.205 
58250.238 20.492 0.233 
58250.239 20.491 0.234 
58255.290 19.481 0.097 
58260.202 19.830 0.191 
58260.203 19.840 0.183 
58262.304 20.200 0.268 
58266.249 20.259 0.294 
58266.256 20.198 0.311 
58266.279 20.247 0.283 
filter ztfi
58232.303 19.966 0.117 
58232.323 19.613 0.100 
58267.239 20.386 0.229 
