ZTF19aavnwxf 0.04692083 189.898241 45.37716
filter ztfg
58632.192 18.903 0.027 
58633.235 18.643 0.018 
58633.239 18.559 0.018 
58634.222 18.296 0.015 
58635.203 18.029 0.010 
58635.204 18.124 0.011 
58636.262 17.906 0.009 
58636.263 17.862 0.008 
58637.225 17.794 0.008 
58638.199 17.678 0.008 
58638.201 17.637 0.007 
58639.218 17.542 0.007 
58639.219 17.541 0.007 
58640.201 17.481 0.007 
58641.188 17.420 0.007 
58642.205 17.414 0.007 
58645.208 17.441 0.012 
58648.180 17.552 0.019 
58649.183 17.553 0.021 
58649.193 17.571 0.023 
58649.345 17.681 0.046 
58650.202 17.628 0.019 
58650.229 17.679 0.022 
58651.178 17.710 0.023 
58651.179 17.709 0.024 
58651.196 17.728 0.027 
58651.229 17.748 0.030 
58653.281 17.901 0.034 
58654.237 17.990 0.018 
58654.238 17.968 0.020 
58654.263 17.965 0.025 
58654.285 18.077 0.042 
58657.198 18.305 0.018 
58658.202 18.340 0.015 
58660.188 18.642 0.019 
58661.220 18.709 0.029 
58665.196 19.097 0.033 
58667.205 19.312 0.040 
58668.195 19.471 0.044 
58670.203 19.650 0.084 
58673.183 19.682 0.086 
58674.200 20.178 0.163 
58676.183 20.262 0.177 
58677.180 20.200 0.166 
58677.181 20.142 0.172 
58679.181 19.747 0.121 
58679.182 19.897 0.130 
58683.174 20.360 0.154 
58685.181 20.283 0.109 
58686.195 20.301 0.133 
58686.197 20.264 0.126 
58686.198 20.345 0.165 
58690.199 20.070 0.103 
58692.223 20.387 0.154 
58694.213 20.079 0.107 
filter ztfr
58628.305 20.635 0.217 
58632.182 19.143 0.061 
58633.194 18.734 0.033 
58633.195 18.810 0.035 
58634.276 18.390 0.023 
58637.198 17.860 0.012 
58638.220 17.781 0.017 
58638.222 17.737 0.011 
58639.187 17.665 0.013 
58639.188 17.668 0.012 
58640.228 17.651 0.012 
58641.280 17.641 0.014 
58642.237 17.558 0.012 
58644.259 17.587 0.017 
58647.241 17.595 0.023 
58648.205 17.586 0.025 
58649.227 17.643 0.027 
58649.266 17.689 0.035 
58650.259 17.732 0.029 
58650.278 17.728 0.033 
58651.241 17.799 0.030 
58651.241 17.801 0.034 
58651.259 17.802 0.044 
58651.288 17.752 0.047 
58654.182 18.079 0.021 
58654.183 18.083 0.022 
58654.199 18.096 0.022 
58654.227 18.074 0.032 
58660.229 18.317 0.022 
58661.205 18.351 0.028 
58665.268 18.430 0.036 
58667.225 18.487 0.032 
58670.180 18.674 0.047 
58671.202 18.663 0.106 
58674.218 18.994 0.079 
58676.198 18.966 0.074 
58677.198 19.041 0.081 
58677.198 19.052 0.069 
58678.203 19.128 0.076 
58679.197 18.981 0.070 
58679.198 19.453 0.095 
58680.242 19.344 0.184 
58680.244 19.342 0.157 
58681.239 19.319 0.179 
58682.246 19.215 0.117 
58682.248 19.524 0.162 
58694.181 19.751 0.107 
filter ztfi
58639.197 17.967 0.029 
58643.221 18.173 0.038 
58643.223 18.090 0.037 
58648.286 18.304 0.066 
58648.287 18.366 0.074 
58652.245 18.720 0.070 
58652.246 18.683 0.074 
58657.173 18.883 0.082 
58661.174 18.976 0.127 
58675.173 19.081 0.189 
