ZTF20aclwclm 0.007662 272.962902 14.982453
filter ztfr
59157.079 14.165 0.010 
59168.073 14.419 0.007 
59168.077 14.403 0.006 
59168.082 14.418 0.008 
59168.087 14.386 0.006 
59168.092 14.400 0.011 
59172.073 14.641 0.008 
59172.078 14.667 0.008 
59172.082 14.666 0.009 
59172.087 14.654 0.008 
59172.092 14.649 0.008 
59174.071 14.727 0.011 
59174.075 14.710 0.008 
59174.080 14.701 0.008 
59174.086 14.703 0.011 
59178.072 14.788 0.010 
59178.076 14.812 0.009 
59178.081 14.796 0.013 
59178.086 14.806 0.011 
59178.091 14.813 0.009 
59180.070 14.886 0.012 
59180.074 14.871 0.014 
59182.069 14.833 0.010 
59182.074 14.870 0.014 
59182.079 14.887 0.014 
59182.088 14.880 0.012 
59230.558 17.004 0.056 
59230.560 16.899 0.041 
59230.562 16.811 0.037 
59230.565 17.052 0.053 
59230.567 16.930 0.046 
59231.563 16.876 0.056 
59231.565 16.781 0.032 
59231.567 16.907 0.040 
59231.570 16.901 0.041 
59232.560 16.819 0.035 
59232.562 16.856 0.030 
59232.565 16.798 0.025 
59232.567 16.882 0.035 
59232.570 16.878 0.061 
