ZTF19ackjsbp 0.08672007 180.746721 3.396394
filter ztfr
58785.530 18.817 0.090 
58785.535 18.863 0.091 
58789.531 18.709 0.065 
58789.541 18.950 0.084 
58791.535 19.079 0.091 
58791.540 19.043 0.080 
58791.545 19.062 0.091 
58791.550 19.082 0.182 
58793.537 19.412 0.123 
58793.541 19.613 0.152 
58793.551 18.938 0.110 
58795.538 19.122 0.074 
58795.543 19.137 0.104 
58795.548 19.032 0.093 
58795.553 19.208 0.116 
58800.541 19.524 0.118 
58853.546 21.150 0.212 
