ZTF19abkdsce 0.103 13.12011 -11.66084
filter ztfr
58690.419 21.013 0.285 
58690.420 20.701 0.210 
58691.437 20.500 0.172 
58692.484 20.372 0.174 
58693.480 20.103 0.102 
58693.481 20.128 0.110 
58694.415 19.939 0.085 
58695.462 19.729 0.073 
58696.462 19.977 0.092 
58699.481 19.871 0.097 
58700.458 19.768 0.075 
58704.460 19.838 0.111 
58704.461 19.785 0.105 
58705.460 19.874 0.089 
58707.466 19.869 0.092 
58707.467 19.857 0.083 
58708.482 19.769 0.155 
58710.418 20.164 0.305 
58711.419 20.227 0.269 
58719.397 20.465 0.212 
58723.392 20.890 0.185 
