ZTF19abpbvsk 0.08898977 280.598977 45.928925
filter ztfr
58703.180 21.018 0.198 
58703.289 21.645 0.280 
58704.284 21.001 0.201 
58705.185 20.557 0.143 
58705.202 20.827 0.156 
58706.204 20.006 0.081 
58706.339 20.246 0.113 
58707.177 19.994 0.095 
58707.201 20.136 0.099 
58708.202 19.811 0.089 
58709.202 19.331 0.052 
58710.176 19.193 0.053 
58711.176 18.985 0.046 
58711.316 19.079 0.047 
58714.176 18.858 0.022 
58714.360 18.726 0.037 
58715.260 18.771 0.027 
58715.323 18.662 0.023 
58716.282 18.697 0.025 
58716.375 18.718 0.032 
58717.260 18.683 0.021 
58717.315 18.679 0.028 
58718.282 18.636 0.018 
58719.261 18.793 0.039 
58719.374 18.692 0.048 
58720.282 18.594 0.020 
58721.261 18.602 0.025 
58722.261 18.685 0.019 
58724.285 18.664 0.021 
58725.244 18.753 0.021 
58725.259 18.709 0.020 
58726.261 18.746 0.023 
58727.286 18.818 0.023 
58728.231 18.821 0.025 
58730.160 18.938 0.031 
58730.261 18.932 0.032 
58731.135 19.014 0.038 
58732.238 19.072 0.034 
58732.260 19.035 0.031 
58733.259 19.083 0.033 
58734.261 19.176 0.045 
58734.322 19.254 0.071 
58735.241 19.098 0.044 
58735.260 19.112 0.044 
58736.247 19.294 0.032 
58736.269 19.149 0.056 
58737.284 19.370 0.077 
58745.119 19.580 0.050 
58745.340 19.540 0.106 
58747.264 19.577 0.060 
58748.143 19.500 0.064 
58748.144 19.675 0.052 
58749.262 19.645 0.058 
58749.276 19.548 0.080 
58749.312 19.593 0.082 
58750.266 19.758 0.100 
58750.283 19.602 0.099 
58751.143 19.672 0.060 
58751.143 19.614 0.063 
58751.275 19.917 0.098 
58751.299 19.811 0.129 
58754.136 19.962 0.060 
58754.137 19.848 0.061 
58758.281 20.188 0.134 
58758.297 20.027 0.116 
58759.275 20.319 0.141 
58760.265 20.491 0.201 
58760.280 20.345 0.214 
58761.124 20.384 0.109 
58761.141 20.281 0.108 
58761.142 20.188 0.093 
58762.123 20.047 0.084 
58762.133 20.444 0.124 
58763.261 20.474 0.197 
58763.274 19.857 0.171 
58763.293 20.221 0.178 
58764.122 20.365 0.118 
58765.124 20.504 0.143 
58765.192 20.208 0.121 
58767.121 20.549 0.279 
58767.194 19.984 0.211 
58768.200 20.316 0.175 
58769.095 20.400 0.160 
58770.198 19.927 0.169 
58770.198 20.147 0.188 
58771.099 20.361 0.186 
58779.091 20.830 0.183 
58785.101 20.938 0.216 
