ZTF20aayqjpv 0.03214738 221.030138 18.012879
filter ztfr
58976.314 17.700 0.107 
58979.298 17.328 0.046 
58985.289 17.208 0.040 
58991.231 17.346 0.035 
58995.256 17.648 0.042 
58998.265 17.768 0.054 
58998.266 17.867 0.036 
58998.275 17.793 0.048 
59001.232 17.900 0.061 
59004.251 18.040 0.092 
59009.211 17.980 0.056 
59012.255 18.296 0.083 
59016.238 18.538 0.091 
59019.214 18.778 0.120 
59022.220 19.036 0.147 
59025.189 19.144 0.142 
59028.215 19.239 0.196 
59031.212 19.110 0.226 
59034.314 19.122 0.274 
59037.191 19.061 0.168 
59040.199 19.958 0.298 
59046.191 19.986 0.305 
59049.170 19.762 0.277 
59050.258 19.649 0.256 
59050.259 19.655 0.292 
59052.243 19.872 0.303 
59055.193 19.891 0.301 
