ZTF18abfgygp 0.06901057 274.339484 54.537368
filter ztfg
58305.220 21.265 0.173 
58305.222 21.043 0.157 
58305.309 21.452 0.213 
58305.310 21.229 0.161 
58305.321 21.378 0.214 
58305.323 20.983 0.158 
58306.313 20.596 0.092 
58306.326 20.800 0.119 
58306.347 20.627 0.129 
58306.348 20.924 0.132 
58307.238 20.472 0.082 
58307.239 20.101 0.056 
58307.330 20.221 0.062 
58307.330 20.320 0.077 
58307.345 20.236 0.064 
58307.346 20.122 0.062 
58308.220 19.816 0.040 
58308.220 19.851 0.044 
58308.390 19.796 0.090 
58310.333 19.115 0.026 
58310.347 19.056 0.024 
58310.373 19.105 0.028 
58311.345 18.893 0.025 
58311.348 18.810 0.020 
58311.349 18.822 0.021 
58311.370 18.838 0.021 
58312.350 18.626 0.018 
58312.351 18.665 0.018 
58312.365 18.606 0.017 
58312.367 18.586 0.018 
58313.246 18.514 0.014 
58313.249 18.543 0.017 
58313.327 18.466 0.014 
58313.330 18.476 0.016 
58313.342 18.463 0.013 
58313.346 18.462 0.017 
58314.326 18.376 0.016 
58314.326 18.321 0.014 
58314.328 18.399 0.016 
58314.346 18.350 0.013 
58314.347 18.318 0.012 
58314.349 18.407 0.013 
58314.365 18.345 0.020 
58315.391 18.243 0.013 
58315.392 18.274 0.014 
58315.409 18.271 0.015 
58315.413 18.304 0.025 
58316.370 18.207 0.015 
58316.388 18.104 0.012 
58316.403 18.161 0.013 
58317.345 18.119 0.013 
58317.346 18.096 0.012 
58317.366 18.028 0.013 
58317.367 18.121 0.014 
58317.390 18.035 0.013 
58318.384 18.069 0.012 
58318.385 18.060 0.010 
58318.409 18.056 0.009 
58318.410 18.073 0.013 
58318.433 18.080 0.015 
58318.434 18.080 0.012 
58319.195 18.060 0.019 
58319.364 18.125 0.020 
58319.366 18.032 0.014 
58319.387 18.078 0.013 
58319.388 18.118 0.018 
58319.401 18.049 0.012 
58320.202 18.026 0.018 
58320.413 18.003 0.013 
58320.428 17.992 0.012 
58320.429 18.000 0.014 
58320.432 18.022 0.013 
58321.383 18.034 0.009 
58321.384 18.008 0.011 
58321.405 18.000 0.009 
58321.406 18.036 0.011 
58321.423 17.993 0.011 
58321.424 18.044 0.010 
58322.174 18.016 0.025 
58322.193 18.019 0.016 
58322.218 18.011 0.015 
58322.221 18.045 0.020 
58322.432 17.986 0.011 
58323.279 18.035 0.022 
58323.383 18.040 0.023 
58323.391 18.002 0.018 
58323.393 18.018 0.023 
58323.406 18.048 0.020 
58323.411 18.055 0.019 
58323.412 18.012 0.018 
58323.427 18.025 0.015 
58324.378 18.091 0.030 
58324.381 18.053 0.027 
58324.403 18.118 0.033 
58324.404 18.023 0.033 
58324.423 18.042 0.031 
58325.175 18.053 0.031 
58325.176 18.029 0.026 
58325.195 18.068 0.028 
58325.198 18.027 0.029 
58325.407 18.220 0.064 
58325.407 18.103 0.042 
58326.182 18.122 0.028 
58326.183 18.110 0.030 
58326.202 18.147 0.029 
58326.424 18.098 0.058 
58326.425 18.128 0.069 
58326.448 18.271 0.074 
58326.453 18.221 0.069 
58327.183 18.164 0.030 
58327.204 18.132 0.032 
58327.205 18.107 0.034 
58329.408 18.304 0.036 
58329.412 18.310 0.039 
58329.423 18.253 0.035 
58330.181 18.364 0.013 
58330.193 18.352 0.014 
58330.194 18.336 0.015 
58330.283 18.375 0.037 
58330.284 18.355 0.025 
58331.258 18.367 0.019 
58331.300 18.396 0.023 
58332.203 18.524 0.020 
58332.204 18.538 0.022 
58332.205 18.453 0.013 
58332.225 18.504 0.014 
58332.226 18.458 0.013 
58332.243 18.461 0.015 
58332.246 18.518 0.019 
58333.227 18.592 0.026 
58333.227 18.612 0.021 
58338.178 18.995 0.022 
58343.177 19.585 0.053 
58345.185 19.669 0.040 
58346.328 19.866 0.058 
58348.343 19.889 0.070 
58349.183 20.168 0.122 
58349.186 19.900 0.068 
58349.208 20.012 0.070 
58349.226 20.014 0.082 
58349.227 20.194 0.099 
58350.274 20.327 0.129 
58350.300 20.117 0.087 
58350.301 19.968 0.084 
58350.317 20.009 0.081 
58350.345 20.167 0.068 
58350.346 20.341 0.086 
58351.237 20.375 0.147 
58351.265 20.107 0.093 
58351.275 20.003 0.100 
58351.290 20.272 0.108 
58352.167 20.151 0.129 
58352.186 20.362 0.140 
58352.187 20.114 0.125 
58352.202 20.320 0.151 
58352.202 20.410 0.147 
58352.351 20.642 0.269 
58352.364 20.212 0.164 
58360.152 21.047 0.152 
58361.161 20.793 0.108 
58361.175 20.708 0.113 
58361.175 20.619 0.083 
58361.202 20.738 0.100 
58361.204 21.194 0.168 
58362.197 20.814 0.095 
58362.198 20.943 0.114 
58362.218 20.890 0.115 
58362.219 20.823 0.118 
58362.240 20.689 0.133 
58362.241 20.662 0.124 
58363.165 20.545 0.123 
58363.166 20.544 0.099 
58363.174 20.994 0.174 
58363.174 20.726 0.147 
58363.179 21.021 0.157 
58363.200 20.766 0.109 
58364.196 20.997 0.128 
58364.198 20.943 0.119 
58364.219 20.650 0.097 
58364.220 20.888 0.113 
58364.222 20.980 0.124 
58364.242 21.065 0.134 
58364.243 20.680 0.101 
58365.239 20.960 0.109 
58365.241 20.654 0.092 
58365.265 20.570 0.096 
58365.266 20.940 0.138 
58365.283 20.702 0.147 
58365.284 21.338 0.215 
58366.201 21.047 0.117 
58366.202 20.814 0.103 
58366.203 20.945 0.107 
58366.220 21.226 0.146 
58366.221 21.201 0.140 
58366.241 21.171 0.146 
58366.246 20.978 0.115 
58367.223 21.175 0.138 
58367.224 21.006 0.140 
58367.236 20.837 0.126 
58367.239 20.986 0.156 
58367.258 21.323 0.206 
58367.266 20.699 0.117 
58367.279 21.044 0.170 
58368.203 20.665 0.092 
58368.216 21.032 0.125 
58368.245 21.036 0.139 
58368.246 21.382 0.209 
58368.259 20.954 0.129 
58368.260 21.121 0.167 
58369.222 21.046 0.136 
58369.236 20.763 0.097 
58369.237 21.166 0.148 
58369.260 20.924 0.129 
58369.263 20.892 0.123 
58369.264 20.890 0.127 
58369.287 20.793 0.120 
58370.181 20.876 0.119 
58370.182 21.148 0.150 
58370.203 20.974 0.124 
58370.206 21.162 0.155 
58370.224 21.357 0.221 
58371.195 20.948 0.124 
58371.217 21.072 0.126 
58371.245 21.037 0.141 
58371.246 21.343 0.186 
58371.260 20.813 0.107 
58371.261 20.950 0.128 
58372.203 20.838 0.106 
58372.204 21.008 0.127 
58372.205 20.971 0.117 
58372.215 20.949 0.115 
58372.219 21.003 0.127 
58372.243 21.235 0.153 
58372.246 21.134 0.143 
58373.196 21.128 0.155 
58373.225 21.143 0.191 
58373.241 21.191 0.195 
58373.242 20.892 0.158 
58373.247 20.867 0.170 
58374.201 21.395 0.182 
58374.222 21.222 0.167 
58374.222 21.091 0.165 
58375.218 21.295 0.172 
58375.242 21.146 0.160 
58375.243 21.135 0.167 
58375.248 21.041 0.154 
58376.217 21.182 0.173 
58376.218 20.979 0.153 
58376.222 21.108 0.167 
58376.239 20.781 0.130 
58376.247 21.132 0.169 
58377.201 21.113 0.167 
58377.225 21.194 0.210 
58377.236 21.161 0.203 
58377.237 21.025 0.164 
58377.262 20.952 0.156 
58378.161 21.332 0.223 
58378.162 21.175 0.190 
58378.181 20.773 0.138 
58378.182 21.104 0.182 
58378.182 21.062 0.156 
58378.198 20.840 0.163 
58378.206 21.252 0.206 
58379.153 21.018 0.180 
58379.154 21.056 0.201 
58379.173 21.401 0.256 
58379.178 20.725 0.153 
58379.180 21.290 0.242 
58379.192 21.190 0.211 
58379.194 21.382 0.261 
58380.166 20.959 0.235 
58380.183 21.179 0.277 
58381.179 20.760 0.174 
58381.197 21.199 0.306 
58381.223 21.056 0.269 
58382.178 21.126 0.259 
58383.178 21.123 0.297 
58384.223 21.031 0.301 
58385.122 21.171 0.306 
58385.140 20.325 0.161 
58388.121 21.523 0.191 
58388.122 21.387 0.203 
58389.136 21.184 0.157 
58390.135 21.211 0.155 
58390.136 21.016 0.123 
58390.137 21.304 0.152 
58390.157 21.279 0.176 
filter ztfr
58304.322 21.278 0.184 
58305.363 20.671 0.173 
58306.370 20.143 0.142 
58307.199 20.345 0.093 
58307.371 20.327 0.086 
58307.372 20.260 0.079 
