ZTF18acqpobb 0.0313654 206.491037 28.795894
filter ztfg
58465.550 17.649 0.009 
58471.515 18.054 0.015 
58480.519 18.485 0.052 
58486.554 18.667 0.023 
58491.505 18.868 0.029 
58494.508 18.903 0.019 
58502.493 19.112 0.101 
58505.467 19.086 0.104 
58507.484 19.092 0.107 
58511.461 19.165 0.039 
58526.474 19.458 0.064 
filter ztfr
58448.510 16.353 0.008 
58448.558 16.339 0.006 
58465.515 16.966 0.008 
58468.531 17.026 0.006 
58474.487 17.218 0.015 
58476.479 17.330 0.013 
58481.510 17.517 0.012 
58486.517 17.831 0.012 
58491.550 18.029 0.017 
58493.495 18.166 0.010 
58494.552 18.176 0.010 
58503.478 18.445 0.074 
58505.539 18.554 0.063 
58508.496 18.517 0.046 
58511.539 18.735 0.045 
58522.525 19.060 0.027 
58524.458 19.221 0.032 
