ZTF18absbspk 0.1389573 347.598003 27.641014
filter ztfg
58361.395 20.356 0.175 
58367.300 19.837 0.056 
58370.355 19.640 0.038 
58373.364 19.675 0.038 
58376.295 19.543 0.034 
58379.338 19.636 0.038 
58382.258 19.500 0.062 
58388.310 19.928 0.123 
58400.284 21.021 0.115 
filter ztfr
58361.309 20.236 0.098 
58364.312 19.927 0.057 
58367.348 19.728 0.047 
58370.291 19.543 0.041 
58376.342 19.351 0.030 
58379.310 19.414 0.044 
58382.297 19.311 0.046 
58385.242 19.322 0.071 
58388.269 19.361 0.059 
58400.188 19.721 0.045 
58423.139 20.573 0.184 
58426.243 20.623 0.177 
58429.143 20.784 0.130 
filter ztfi
58365.330 19.806 0.089 
58370.316 19.755 0.081 
58373.354 19.603 0.091 
58374.295 19.633 0.128 
58375.327 19.519 0.066 
58378.359 19.292 0.052 
58382.277 19.445 0.072 
58387.337 19.353 0.086 
58397.308 19.670 0.079 
58426.287 20.459 0.273 
