ZTF20abmsqaa 0.09999186 19.226156 -15.519743
filter ztfg
59048.461 19.561 0.058 
59054.480 18.896 0.033 
59064.461 18.832 0.113 
59064.462 18.948 0.113 
59084.424 20.647 0.118 
59084.425 20.389 0.108 
59091.429 21.120 0.282 
59118.440 21.671 0.279 
filter ztfr
59048.420 19.791 0.074 
59054.418 19.019 0.044 
59061.436 18.974 0.045 
59061.451 18.907 0.032 
59064.418 14.271 0.299 
59064.419 18.875 0.084 
59111.401 20.375 0.125 
59115.376 20.774 0.190 
59116.378 20.953 0.191 
59117.355 20.883 0.148 
59118.335 21.180 0.249 
