ZTF19acymuae 0.04653559 159.062164 52.947379
filter ztfr
58831.434 18.456 0.043 
58831.435 18.393 0.051 
58833.437 18.352 0.046 
58833.437 18.387 0.055 
58834.511 14.549 0.195 
58846.434 18.727 0.026 
58846.435 18.702 0.024 
58851.451 18.950 0.036 
58851.452 18.946 0.034 
58859.279 19.095 0.109 
58859.280 19.027 0.100 
58860.302 19.004 0.131 
58860.303 19.051 0.142 
58862.371 19.236 0.077 
58862.372 19.173 0.069 
