ZTF18adazgdh 0.07682 146.377131 15.351702
filter ztfg
58480.485 19.308 0.095 
58480.485 19.302 0.078 
58482.511 19.076 0.043 
58482.515 18.949 0.041 
58486.436 18.797 0.033 
58486.438 18.782 0.038 
58491.439 18.711 0.031 
58491.460 18.729 0.033 
58494.467 18.886 0.028 
58494.467 18.933 0.026 
58507.468 19.694 0.205 
58507.468 19.762 0.200 
58522.410 21.139 0.157 
filter ztfr
58480.454 19.363 0.082 
58480.455 19.253 0.097 
58481.420 19.132 0.053 
58481.435 19.140 0.062 
58486.457 18.791 0.041 
58486.458 18.781 0.036 
58486.475 18.820 0.029 
58486.476 18.687 0.029 
58492.479 18.593 0.036 
58493.437 18.715 0.023 
58493.472 18.713 0.030 
58502.422 19.000 0.118 
58502.424 18.679 0.106 
58502.505 19.060 0.135 
58502.506 19.011 0.110 
58503.305 18.702 0.191 
58503.336 19.026 0.175 
58503.353 18.948 0.146 
58503.355 19.072 0.160 
58503.373 19.193 0.186 
58503.390 19.326 0.272 
58503.406 19.430 0.159 
58503.407 18.821 0.118 
58503.423 19.335 0.099 
58503.424 19.192 0.110 
58503.439 19.222 0.116 
58503.440 19.400 0.156 
58503.455 19.210 0.153 
58507.277 19.324 0.115 
58510.275 19.422 0.101 
58510.275 19.246 0.080 
58511.410 19.431 0.053 
58511.411 19.375 0.057 
58513.412 19.392 0.049 
58513.420 19.466 0.056 
58523.212 19.845 0.083 
58523.253 19.786 0.073 
58523.253 19.680 0.066 
58523.256 19.699 0.050 
58523.256 19.730 0.070 
58523.259 19.786 0.059 
58523.259 19.939 0.078 
58523.262 19.752 0.057 
58523.262 19.708 0.073 
58523.264 19.720 0.051 
58523.265 19.811 0.071 
58523.267 19.732 0.053 
58523.268 19.742 0.075 
58523.270 19.698 0.047 
58523.271 19.644 0.063 
58523.273 19.742 0.047 
58523.274 19.667 0.058 
58523.276 19.684 0.047 
58523.276 19.634 0.060 
58523.279 19.666 0.049 
58523.279 19.784 0.074 
58523.282 19.654 0.052 
58523.282 19.744 0.061 
58523.285 19.723 0.046 
58523.285 19.914 0.079 
58523.288 19.608 0.048 
58523.288 19.755 0.064 
58523.291 19.679 0.047 
58523.291 19.644 0.055 
58523.293 19.716 0.050 
58523.294 19.796 0.080 
58523.296 19.780 0.051 
58523.297 19.686 0.063 
58523.299 19.844 0.055 
58523.300 19.666 0.058 
58523.302 19.662 0.051 
58523.303 19.680 0.065 
58523.305 19.717 0.075 
58523.306 19.789 0.083 
58523.308 19.765 0.073 
58523.308 19.853 0.132 
58523.312 19.752 0.061 
58523.313 19.873 0.069 
58523.315 19.786 0.058 
58523.316 19.689 0.069 
58523.318 19.763 0.059 
58523.319 19.686 0.067 
58523.321 19.640 0.051 
58523.321 19.597 0.059 
58523.324 19.758 0.054 
58523.324 19.636 0.062 
58523.327 19.751 0.053 
58523.327 19.724 0.069 
58523.330 19.655 0.058 
58523.330 19.831 0.072 
58523.333 19.698 0.062 
58523.333 19.760 0.077 
58523.336 19.777 0.053 
58523.336 19.717 0.066 
58523.339 19.765 0.054 
58523.339 19.839 0.072 
58523.342 19.804 0.055 
58523.342 19.769 0.068 
58523.345 19.697 0.046 
58523.345 19.780 0.067 
58523.348 19.762 0.055 
58523.348 19.841 0.072 
58523.351 19.795 0.057 
58523.351 19.738 0.068 
58523.354 19.706 0.057 
58523.354 19.799 0.067 
58523.357 19.648 0.073 
58523.357 19.655 0.065 
58523.360 19.961 0.076 
58523.360 19.875 0.076 
58523.363 19.850 0.066 
58523.363 19.671 0.063 
58523.366 19.826 0.052 
58523.366 19.746 0.065 
58523.369 19.810 0.069 
58523.369 19.757 0.074 
58523.372 19.693 0.061 
58523.372 19.764 0.073 
58523.375 19.703 0.060 
58523.375 19.669 0.070 
58523.378 19.740 0.073 
58523.378 19.915 0.089 
58523.381 19.602 0.068 
58523.381 19.789 0.092 
58523.384 19.795 0.073 
58523.384 19.843 0.082 
58523.386 19.559 0.060 
58523.387 19.939 0.098 
58523.389 19.732 0.068 
58523.390 19.699 0.075 
58523.392 19.666 0.066 
58523.393 19.956 0.088 
58523.396 19.813 0.108 
58523.398 19.562 0.066 
58523.399 19.932 0.109 
58523.401 19.566 0.069 
58523.401 19.625 0.122 
58523.407 19.673 0.098 
58523.407 19.581 0.087 
58524.253 20.060 0.135 
58524.254 19.864 0.085 
58524.256 19.747 0.052 
58524.257 19.752 0.075 
58524.259 19.738 0.056 
58524.260 19.907 0.081 
58524.262 19.852 0.057 
58524.262 19.753 0.070 
58524.265 19.783 0.056 
58524.265 19.761 0.068 
58524.268 19.766 0.052 
58524.268 19.685 0.068 
58524.271 19.862 0.062 
58524.271 19.850 0.076 
58524.274 19.855 0.060 
58524.274 19.763 0.072 
58524.276 19.710 0.056 
58524.277 19.779 0.071 
58524.279 19.792 0.053 
58524.280 19.751 0.069 
58524.282 19.838 0.055 
58524.283 19.944 0.079 
58524.285 19.929 0.065 
58524.286 19.776 0.066 
58524.288 19.886 0.060 
58524.288 19.764 0.071 
58524.291 19.852 0.180 
58524.291 19.802 0.069 
58524.294 19.800 0.063 
58524.294 19.758 0.067 
58524.297 19.824 0.056 
58524.297 19.857 0.069 
58524.300 19.927 0.065 
58524.300 19.673 0.064 
58524.303 19.840 0.065 
58524.303 19.757 0.073 
58524.305 19.678 0.054 
58524.306 19.822 0.079 
58524.308 19.796 0.066 
58524.309 19.739 0.074 
58524.311 19.730 0.047 
58524.312 19.892 0.075 
58524.314 19.913 0.068 
58524.315 19.842 0.071 
