ZTF19acmbiad 0.07024916 126.027551 54.245629
filter ztfg
58798.550 18.150 0.021 
58802.545 18.017 0.026 
58804.496 18.082 0.040 
58805.504 18.214 0.026 
58805.517 18.140 0.025 
58837.489 19.836 0.097 
58846.487 20.687 0.132 
58849.486 20.900 0.138 
58850.431 20.635 0.179 
58852.468 20.954 0.129 
58855.425 19.933 0.160 
58864.199 21.074 0.158 
filter ztfr
58788.541 20.168 0.104 
58791.498 19.230 0.039 
58791.509 19.174 0.034 
58794.539 18.664 0.020 
58799.372 18.246 0.032 
58806.502 18.229 0.020 
58827.319 18.998 0.072 
58827.422 18.973 0.060 
58828.331 19.027 0.051 
58830.333 19.090 0.056 
58833.312 19.070 0.140 
58833.399 18.999 0.070 
58833.405 19.268 0.088 
58836.494 19.126 0.042 
58836.494 19.159 0.040 
58837.424 19.134 0.060 
58846.477 19.747 0.057 
58851.445 19.698 0.106 
58851.445 19.788 0.106 
58852.426 19.986 0.062 
58853.431 19.979 0.060 
58854.451 19.699 0.137 
58855.327 19.688 0.144 
58856.200 19.667 0.151 
58859.277 19.993 0.184 
58862.299 20.511 0.165 
58862.321 20.338 0.135 
58864.238 20.315 0.073 
58866.349 20.453 0.095 
58867.349 20.414 0.107 
