name,z,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,peakmag_ztfg,peakmag_ztfi,peakmag_ztfr,mag_err
ZTF18aabukgo,0.02611178,58786.15130216759,0.0009787538314705,1.7191124671157827,0.9369585854950332,0.0001128223775594,9.996159123627466e-05,0.5129837302226051,0.0685613486940259,17.601532902887357,16.703231157642307,16.872065599991128,0.1108878608703749
ZTF18aaccuih,0.03166167,58154.817964770446,5.670410702462866e-05,-0.6441957424202789,1.3974064150552756,2.2724998416379094e-07,6.843730666532455e-06,0.6554014767431462,0.0836392815131889,20.441685308932183,18.747487938103024,19.247048978536597,0.1310396468643874
ZTF18aahatvc,0.07784651,58986.47225488834,0.0009045966519791,0.8526114083335293,0.0525934896312318,0.0497846709477016,5.366460298388694e-06,0.0662370299674487,0.0059704615601928,18.17117183477884,18.74462939654375,18.280573193961278,0.0064410588129081
ZTF18aahfgyz,0.01201,58215.56383229087,0.0019158759689095,-2.99672662239234,0.6906651450417162,0.0836916594016656,4.130996158402879e-05,0.034038941019385,0.0158221469719699,17.056146854870825,16.47497148775017,16.501504542943124,0.0234105556083969
ZTF18aahpaoa,0.10129822,58217.7274601066,0.0004121029508561,0.9100865724923508,-0.0595658737773519,0.4284108170650142,3.953996639565571e-05,0.5895722671768385,0.0805641303119954,19.07765836150783,19.846586645861755,19.299537791524813,0.1041729329079033
ZTF18aahrdpu,0.11055293,58222.12043597117,0.0004287142307651,1.6997504989886982,-0.0333857314567266,2.1117421974340687,3.1857690315030565e-05,1.1842788288631283,0.0963494006450715,19.01436961890067,19.752600659557768,19.21797342999597,0.0806808948545225
ZTF18aaiajvb,0.09616065,58212.58608260918,0.0003756892254148,1.8870688331308076,0.1573875075241449,0.1053698703326517,4.927918100244095e-06,0.1207203570103351,0.0118184168499841,19.06228808040514,19.475435795261788,19.08019606952625,0.0142416091108524
ZTF18aaixjrc,0.10595612,58900.53379118656,0.0003012332649246,-1.4487758896559788,-0.0088361757842446,0.0699390679255884,1.8716106245090992e-06,0.1230143181508334,0.0060844543885625,19.41188360490228,20.049507105342386,19.564674778829083,0.0067458533065665
ZTF18aakcsq,0.084,58236.55496657178,0.0005281399636371,-0.7736962315255966,0.0216924153150764,0.1952970560923859,1.0692683959667662e-05,0.1622254868145655,0.0186013270062062,18.783108964637197,19.38019919457221,18.910050228051382,0.0219817376081467
ZTF18aakecej,0.06647,58231.1796405405,0.0007162021504031,-1.8022123615287424,-0.0476254017034143,0.0431782947052852,3.300893111098161e-06,0.0566934736404769,0.0052618957748508,18.49208581510875,19.19056601082299,18.681751486176637,0.0050040329489914
ZTF18aakglgw,0.03755884,58217.29346636548,0.0014721562569345,-2.032299871583951,0.2159425753272309,0.0283446419598476,1.2087899382298287e-05,0.0438247737880984,0.0065744734145502,17.584516852578197,17.823573422779194,17.506670481682157,0.0089149979406149
ZTF18aakiwbs,0.06584399,58948.009865301225,0.0007983204912256,-1.48991628198161,0.1168090623176991,0.0400013621510879,6.323311910325934e-06,0.0440632253413465,0.0061224432923912,18.29388497081628,18.713421968077,18.31971481999017,0.0085998652802694
ZTF18aamlqqh,0.06,58242.89505881588,0.0011705636636418,-1.4633896195076272,-0.0353779628997166,0.0656715446675662,1.0370528660837689e-05,0.0704315005355125,0.0097224749924311,17.950696295419405,18.63416897917384,18.130288112630325,0.0096190055947257
ZTF18aansqun,0.05968,58313.91984100544,0.0004082342053277,-1.0431546677846923,0.3621978070178456,0.0561240689239639,4.077248446483357e-06,0.0866025410631538,0.0087661811702729,18.895755961847613,18.90382313961136,18.68166769941265,0.0108438151344677
ZTF18aanygjk,0.06838664,58653.02169028548,0.0012573067531212,0.8811510683072349,0.050024827438941,0.0359541536599863,6.669488243851273e-06,0.0547253777432242,0.0050731059239905,17.81468077252815,18.393107149582058,17.926908225589354,0.0057593780003022
ZTF18aaobdza,0.1154652,58238.82893854072,0.0002918730930637,1.5769256239097094,-0.0153464487205723,0.2042608809315425,5.0388657692565154e-06,0.253336413618621,0.0150144588659167,19.424628369173234,20.12925780253738,19.60890947141106,0.01874403337139
ZTF18aaobguk,0.13042353,58239.46427617499,0.0002509161487531,0.4307769783657101,-0.0884334041360663,0.1241030693090579,2.9091585123104125e-06,0.1810295240964236,0.0096861774773667,19.6339015896776,20.44435810181437,19.88081875025468,0.0125881842914127
ZTF18aaodrg,0.05162126,58244.32751472518,0.0013765149885449,-1.822833194091868,-0.051232334617277,0.0661108316780882,1.0624932432492036e-05,0.0614701495816732,0.008836571618965,17.78453650187844,18.488910317707106,17.97773043339807,0.0083804927015428
ZTF18aaoufj,0.02977212,58608.74680010328,0.0018659745627394,5.010092389900984,0.0023435696743415,0.000145444591908,3.0146247676745743e-05,0.1301550673685532,0.0084840029084466,17.31421830060093,18.0412043237428,17.56785105599783,0.0175408996423809
ZTF18aaovbiy,0.07745,58241.06042085091,0.0006147345409528,-0.0647798003570556,-0.0299459052251412,0.109609504652326,9.91292664684456e-06,0.113777822215354,0.0153679341618657,18.637502837822502,19.33719041054256,18.82174765866912,0.0175080829831161
ZTF18aaqeasu,0.06633826,58252.136289012655,0.0001850834492472,-1.967853721733691,0.5317451941213326,0.1186187319763121,4.362920322933507e-06,0.1493180043101732,0.0190155017147098,19.672396615015533,19.37668412569428,19.283193205151505,0.0255937555321707
ZTF18aaqeygf,0.10431077,58253.87722786668,0.000339157408837,1.0898067650191694,0.0247437166557567,0.1862476626956777,4.278706197695554e-06,0.2037009750650468,0.0121211433935065,19.247467687578723,19.873488070546244,19.38685290395217,0.0136973160760073
ZTF18aaqpkv,0.08426,58243.4946097331,0.0004469696184433,-2.630523347858776,0.1058342578872271,0.8736413917140453,2.8407472126864e-05,1.8521859424965577,0.0550930203837843,18.936832918081297,19.353804558151037,18.964785732185277,0.0690047370136881
ZTF18aaqpsvo,0.1349201,58251.78699899327,0.0001026738440559,1.949801874708736,0.0135056972775622,0.9394251393496234,4.401788257408156e-06,1.0812598959569313,0.041489081668145,20.54046444527506,21.20240687580125,20.700778602683755,0.0465472089867915
ZTF18aarbaba,0.05941,59023.46553990947,0.0007275662196074,-1.872550184038449,0.1462363310347645,0.0533038421708624,4.2031384382366775e-06,0.0769491823499951,0.005376478249898,18.382983390649382,18.744704411727493,18.37623829024052,0.0062722807258238
