name                z          t0                    x0                    x1                     c                  z_err                  t0_err              x0_err             x1_err                 c_err           peakmag_ztfg        peakmag_ztfi      peakmag_ztfr           mag_err
ZTF17aadlxmv 0.06075634607304717 58878.27072770348 0.000999522775084318 0.4260072621410826 0.11197900235498337 0.0034928865565118337 0.06759810323273996 7.5559384400432635e-06 0.07200203700447806 0.00970612566542209 18.037741609074303 18.50088056158832 18.08420330825153 0.008207672831253473
ZTF18aaadqua 0.1435207398956373 58126.659978528056 0.0003720163700312399 68.30437779310827 1.5541952730867346 0.01888131783511901 0.6374593563086819 4.8150309691309636e-05 15.51102353375964 1.3873935684358956 16.273506107422133 14.386225075645289 15.167098087602643 0.14052751092050342
ZTF18aaajrso 0.10024391049183652 58137.72635027599 0.0005962291797977523 1.787409258693691 0.04454004154603839 0.017487207614886924 3.0384762738467543 9.240478834349734e-05 1.0090460467839837 0.21325132071220426 18.61774719830708 19.222902827013122 18.74521523404606 0.16826956411556235
ZTF18aaanzph 0.0927552287045226 58143.54718977313 0.00047525935678033993 1.0003046613896118 -0.08423819255751246 0.02903554427619881 1.6954044723061088 0.00012249607147791312 2.7808746613371103 0.10745353735782533 18.933566339577133 19.747085596141257 19.180981155817815 0.2798438743956817
ZTF18aaaoaeq 0.1658774421337121 58164.682999950914 6.865750754459234e-05 12.816291818247288 0.5228735995087271 0.029860474060887668 1.2170436210508342 1.8463436223594945e-05 4.1270418520092775 0.18954897587456787 20.197378887795278 20.003632192980845 20.018027055929096 0.2919771178582299
ZTF18aaapivw 2.2133842591876008e-05 58217.57443980608 -0.0005092814573807345 -11.065160193357402 -5.278473495683525 0.16801536180644006 2.026678969468776 0.00022616050079814163 3.6934741117260628 0.7320761599095706 19.749604457162157 31.495332237773187 27.008653438823373 0.48215115678009185
ZTF18aaaqexr 0.07169454131043654 58893.65706683049 0.0005492819574559795 -1.6311612737015295 0.10587266552660776 0.011353974251755064 0.138286974728544 7.344611890989348e-06 0.20578151182135976 0.021215733498800255 18.706138485349108 19.14189479652521 18.741839137633324 0.01451770066666222
ZTF18aaasvcd 0.12530232400269367 58164.877383477295 0.017459625827649275 -0.7167695761973297 -0.05507636707683024 0.002020034672577657 0.05743577883549733 0.0005512204945308208 0.19470441006703074 0.021002896992499475 15.020632715521833 15.752098627485818 15.225463145624367 0.03427794235825102
ZTF18aabasml 0.07244300179723616 58170.84732692684 0.006006509640717012 -3.02923399366815 -0.8716695201013537 0.005027071091719862 0.1157955948219751 0.00027042659459782924 0.22476663443228606 0.045311733187189826 16.527716726020298 18.675722760650967 17.581703253431172 0.048882289723464624
ZTF18aabdgik 0.02749095760122329 58430.133698619065 0.007664945432021097 -0.8133366770131701 0.11149355225142245 1.4516110589234826e-06 0.0001150538373622112 0.0001099829236822599 0.09665646718567715 0.03811054982913779 15.835796327177814 16.27698131137488 15.872337075189623 0.015579033563386127
