salt2_extended_fitted,salt2_fitted,salt3_fitted,salt3_nir_fitted,salt2_extended_fixed,salt2_fixed,salt3_fixed,salt3_nir_fixed
18.085891430953865,18.088140747928566,18.09480998822988,18.08420330825153,18.09184847863673,18.094413353418634,18.095291649713893,18.087172692826744
18.751707287819517,18.756390121737713,18.73170830685449,18.74521523404606,18.612649073896844,18.658171565347562,18.651537103734356,18.647619996549242
20.1090838385166,19.854862318211758,19.9061157352566,20.018027055929096,19.890363623013787,19.82284031896101,19.77302102390582,19.880196405945807
18.735437649188704,18.737075042366623,18.738922646287453,18.741839137633324,18.73391514925178,18.736431305869004,18.744362053506503,18.73857351793298
17.629758258549032,18.346049317927402,17.705275488140153,17.581703253431172,17.216602266989447,17.18248533887295,17.48215909475285,17.427056450874403
15.99237914468435,15.99604354228221,15.904190090755579,15.872337075189623,15.869663848480124,15.871026399123156,15.873732399318355,15.869154367942773
17.667537411607338,17.700457666294316,17.696507642418805,17.6659059687424,17.20632417993917,17.23499539743584,17.2733923499996,17.231556835571013
17.333643985417936,17.333618723213608,17.306448762867607,17.32077082977655,17.220286188754116,17.220194148444445,17.18545532691203,17.18084802137084
17.148917689494137,17.305646432200337,17.216180093003185,17.078797405747828,16.72410753475948,17.088445675536438,17.125612392495718,16.742435541396294
18.234651913949218,18.197149017419655,18.219470380799535,18.21072927213197,18.334032242015873,18.360255936949248,18.348327261943183,18.326463003116906
18.58751948505092,18.586491008481183,18.603795149335458,18.604518757764556,18.53205484846223,18.53169390791867,18.54933742784767,18.539820571450612
17.52400438677423,17.730245330688568,17.66537855374517,17.73650711846898,17.396908390337803,17.350593072847968,17.405307912699634,17.395828994850472
18.224492897542373,18.224634501678175,18.231022764749646,18.222696397085414,18.164733543237592,18.16305167460356,18.17271150364624,18.166234028334756
18.51015661843822,18.484803727966938,18.547179271834963,18.511696820324797,18.509457489094675,18.483607537771643,18.45077653260566,18.451287059126447
18.753236834720006,18.755707936286694,18.812350819345532,18.80888503094797,18.790237673931294,18.791965295577796,18.81604346018477,18.81064604275995
17.511458715670855,17.52017615944413,17.511898122336007,17.48684818646558,17.3850379211438,17.3507665987066,17.376971265457996,17.391846853568957
19.25629684983412,19.207114142688642,19.21496664692662,19.250474200226716,19.263880158443364,19.1935508200634,19.123905422422688,19.247048978536593
18.4301274219688,18.435776241879733,18.423406736397926,18.412448133471454,18.470776414916074,18.477389596347745,18.48078517185141,18.468106490189935
